SentenceIndex	DocumentId	Entity	Relation	Slotfill(tag)	Correct	Incorrect	Sentence
681	APW_ENG_20081118.0379.LDC2009T13	The Saudi tanker-3	nationality	Saudi-2	1		The Saudi tanker, however, was seized far to the south of the patrolled zone, about 450 nautical miles (833 kilometers) southeast of Mombasa, Kenya, according the U.S. Navy.
710	AFP_ENG_20071104.0430.LDC2009T13	World Cup-winning South Africa coach Jake White-7	nationality	South Africa-4	1		World Cup-winning South Africa coach Jake White has held talks with England rugby chiefs, his agent told The Sunday Times newspaper.
710	AFP_ENG_20071104.0430.LDC2009T13	England rugby chiefs-14	nationality	England-12	1		World Cup-winning South Africa coach Jake White has held talks with England rugby chiefs, his agent told The Sunday Times newspaper.
759	XIN_ENG_20080503.0060.LDC2009T13	the senior French official-7	jobTitle	senior-5		1	The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
759	XIN_ENG_20080503.0060.LDC2009T13	the senior French official-7	nationality	French-6	1		The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
759	XIN_ENG_20080503.0060.LDC2009T13	President Nicolas Sarkozy-43	jobTitle	president-41	1		The remarks by the senior French official are coming at a time when analysts both inside and outside Africa are wondering whether France will pursue a policy of continuity with Africa or a new break as promised by President Nicolas Sarkozy ahead of his electoral triumph.
761	XIN_ENG_20080503.0060.LDC2009T13	French nationals-3	nationality	French-2	1		Addressing French nationals residing in Senegal in the presence of the ambassadorr Jean-Christophe Rufin, Joyandet took time to stress the benefits of the existing ties, including economic ones, between France and Senegal.
762	XIN_ENG_20080503.0060.LDC2009T13	French citizens-5	nationality	French-4	1		Over 25,000 French citizens live and work in Senegal, where one of the largest French communities in sub-Saharan Africa is founded, said the French diplomat.
762	XIN_ENG_20080503.0060.LDC2009T13	the French diplomat-29	nationality	French-28	1		Over 25,000 French citizens live and work in Senegal, where one of the largest French communities in sub-Saharan Africa is founded, said the French diplomat.
764	XIN_ENG_20080503.0060.LDC2009T13	Senegalese President-39	nationality	Senegalese-38	1		In terms of Official Development Assistance, Senegal is the country that receives the largest share of France's aid in sub- Saharan Africa, said the French official ahead of a meeting with Senegalese President Abdoulaye Wade.
764	XIN_ENG_20080503.0060.LDC2009T13	the French official-32	nationality	French-31	1		In terms of Official Development Assistance, Senegal is the country that receives the largest share of France's aid in sub- Saharan Africa, said the French official ahead of a meeting with Senegalese President Abdoulaye Wade.
766	AFP_ENG_20071222.0093.LDC2009T13	Slovenian and Hungarian dignitaries-6	nationality	Slovenian-3	1		EU, Slovenian and Hungarian dignitaries took part in a last round of celebrations Saturday to welcome nine mainly eastern European countries into the passport-free Schengen zone.
766	AFP_ENG_20071222.0093.LDC2009T13	Slovenian and Hungarian dignitaries-6	nationality	Hungarian-5	1		EU, Slovenian and Hungarian dignitaries took part in a last round of celebrations Saturday to welcome nine mainly eastern European countries into the passport-free Schengen zone.
770	AFP_ENG_20071222.0093.LDC2009T13	European Commission President Jose Manuel Barroso-28	jobTitle	commission president-25	1		That was Europe 20 years ago, Europe divided, a great part of Europe without access to freedom, European Commission President Jose Manuel Barroso added.
779	AFP_ENG_20071222.0093.LDC2009T13	Austrian Interior Minister Guenther Platter-39	jobTitle	minister-37		1	Earlier Saturday, Socrates had taken part in another ceremony at Hegyeshalom, on the Austro-Hungarian border near Slovakia, alongside Barroso, Hungarian premier Ferenc Gyurcsany, his Slovakian counterpart Robert Fico and Austrian Interior Minister Guenther Platter.
779	AFP_ENG_20071222.0093.LDC2009T13	Austrian Interior Minister Guenther Platter-39	nationality	Austrian-35	1		Earlier Saturday, Socrates had taken part in another ceremony at Hegyeshalom, on the Austro-Hungarian border near Slovakia, alongside Barroso, Hungarian premier Ferenc Gyurcsany, his Slovakian counterpart Robert Fico and Austrian Interior Minister Guenther Platter.
806	XIN_ENG_20080718.0237.LDC2009T13	Chinese twins-11	nationality	Chinese-10	1		(Beijing Olympics) Synchronized swimming/Stars to watch: Chinese twins want Olympics medals to comfort quake-hit hometown
816	XIN_ENG_20080718.0237.LDC2009T13	Chinese best synchro swimmers-21	nationality	Chinese-18	1		Training nine to 10 hours in the water during the day, the 22 -year-old are among Chinese best synchro swimmers and will lead China's medal quest at the Beijing Olympics.
838	LTW_ENG_20070725.0077.LDC2009T13	Iranian President Mahmoud Ahmadinejad-32	jobTitle	president-30	1		Western observers tend to regard the political success of Islamists in the Middle East as bad news, because elections have brought to power such dangerous hard-liners as Iranian President Mahmoud Ahmadinejad and Hamas leader Ismail Haniyeh.
838	LTW_ENG_20070725.0077.LDC2009T13	Iranian President Mahmoud Ahmadinejad-32	nationality	Iranian-29	1		Western observers tend to regard the political success of Islamists in the Middle East as bad news, because elections have brought to power such dangerous hard-liners as Iranian President Mahmoud Ahmadinejad and Hamas leader Ismail Haniyeh.
978	APW_ENG_20071026.0364.LDC2009T13	railway operator Deutsche Bahn AG-46	jobTitle	operator-43		1	The GDL union's strike, which started Thursday at 2 a.m. (0000GMT) and ended Friday at 8 a.m. (0600GMT), was the third such walkout -- the longest one yet -- in a pay dispute with railway operator Deutsche Bahn AG.
999	AFP_ENG_20080702.0276.LDC2009T13	Iranian Oil Minister Gholam Hossein Nozari-32	jobTitle	minister-29		1	Iran, if there were any kind of activity of any sort, is not going to be quiet and would react fiercely, Iranian Oil Minister Gholam Hossein Nozari said here when asked what Tehran would do in the event of an attack.
999	AFP_ENG_20080702.0276.LDC2009T13	Iranian Oil Minister Gholam Hossein Nozari-32	nationality	Iranian-27	1		Iran, if there were any kind of activity of any sort, is not going to be quiet and would react fiercely, Iranian Oil Minister Gholam Hossein Nozari said here when asked what Tehran would do in the event of an attack.
1001	AFP_ENG_20080702.0276.LDC2009T13	US media-21	nationality	US-20	1		His comments on the sidelines of an oil conference here came as Foreign Minister Manouchehr Mottaki, speaking to US media, said that a new process was underway in the dispute about the country's nuclear programme.
1001	AFP_ENG_20080702.0276.LDC2009T13	Foreign Minister Manouchehr Mottaki-16	jobTitle	foreign minister-14	1		His comments on the sidelines of an oil conference here came as Foreign Minister Manouchehr Mottaki, speaking to US media, said that a new process was underway in the dispute about the country's nuclear programme.
1010	AFP_ENG_20080702.0276.LDC2009T13	President George W. Bush-18	jobTitle	president-15	1		The White House said Wednesday that it was sceptical about Mottaki's comments and President George W. Bush again stressed that military action was possible despite his preference for diplomacy.
1013	AFP_ENG_20080702.0276.LDC2009T13	No Iranian official-3	nationality	Iranian-2	1		No Iranian official has suggested in the past months that Tehran is ready to give any ground on the key question of enrichment, which Iran must suspend in order to enter the talks offered by the world powers.
1026	AFP_ENG_20071111.0019.LDC2009T13	controversial Solomon Islands Prime Minister Manasseh Sogavare-11	jobTitle	prime minister-9	1		The political future of controversial Solomon Islands Prime Minister Manasseh Sogavare was uncertain Monday after the resignation of nine ministers.
1026	AFP_ENG_20071111.0019.LDC2009T13	controversial Solomon Islands Prime Minister Manasseh Sogavare-11	nationality	Solomon Islands-7	1		The political future of controversial Solomon Islands Prime Minister Manasseh Sogavare was uncertain Monday after the resignation of nine ministers.
1027	AFP_ENG_20071111.0019.LDC2009T13	deputy prime minister Toswell Kaua-11	jobTitle	deputy prime minister-9	1		The breakaway group, which includes deputy prime minister Toswell Kaua, have petitioned the Solomon Islands governor general to convene parliament for a vote of no-confidence in Sogavare's government.
1027	AFP_ENG_20071111.0019.LDC2009T13	the Solomon Islands governor general-19	nationality	Solomon Islands-17	1		The breakaway group, which includes deputy prime minister Toswell Kaua, have petitioned the Solomon Islands governor general to convene parliament for a vote of no-confidence in Sogavare's government.
1027	AFP_ENG_20071111.0019.LDC2009T13	the Solomon Islands governor general-19	jobTitle	governor-18	1		The breakaway group, which includes deputy prime minister Toswell Kaua, have petitioned the Solomon Islands governor general to convene parliament for a vote of no-confidence in Sogavare's government.
1043	AFP_ENG_20071111.0019.LDC2009T13	the Australian ambassador-15	nationality	Australian-14	1		Sogavare has been in a long-running confrontation with Australia since he expelled the Australian ambassador last year and Canberra tried to extradite Solomons Attorney General Julian Moti on child sex charges.
1078	AFP_ENG_20080422.0407.LDC2009T13	a senior US official-12	jobTitle	senior-10		1	China reacted angrily Tuesday to a meeting between a senior US official and the exiled Tibetan spiritual leader the Dalai Lama, urging Washington to stop indulging the Nobel Peace Prize winner.The Dalai Lama on Monday met US special envoy on Tibet Paula Dobriansky in the US state of Michigan, where he told her his homeland needed the help of the United States.
1078	AFP_ENG_20080422.0407.LDC2009T13	a senior US official-12	nationality	US-11	1		China reacted angrily Tuesday to a meeting between a senior US official and the exiled Tibetan spiritual leader the Dalai Lama, urging Washington to stop indulging the Nobel Peace Prize winner.The Dalai Lama on Monday met US special envoy on Tibet Paula Dobriansky in the US state of Michigan, where he told her his homeland needed the help of the United States.
1079	AFP_ENG_20080422.0407.LDC2009T13	Foreign ministry spokeswoman Jiang Yu-5	jobTitle	spokeswoman-3	1		Foreign ministry spokeswoman Jiang Yu said China had complained directly to the United States about the meeting.
1096	APW_ENG_20070329.1672.LDC2009T13	Officer Trish Hoffman-16	jobTitle	officer-14	1		Call APD recruiting, the ad reads, above a photo of Officer Trish Hoffman grabbing the veil of a bride, adorned in gown and running shoes.
1204	XIN_ENG_20070621.0369.LDC2009T13	Afghan President Hamid Karzaj-20	jobTitle	president-18	1		Ludwik Dorn, speaker of the lower house of Polish Parliament met Thursday in Kabul with Afghan President Hamid Karzaj and other leaders.
1204	XIN_ENG_20070621.0369.LDC2009T13	Afghan President Hamid Karzaj-20	nationality	Afghan-17	1		Ludwik Dorn, speaker of the lower house of Polish Parliament met Thursday in Kabul with Afghan President Hamid Karzaj and other leaders.
1207	XIN_ENG_20070621.0369.LDC2009T13	Polish soldiers-9	nationality	Polish-8	1		Earlier in the day, Dorn met Polish soldiers serving in Afghanistan.
1215	AFP_ENG_20070109.0124.LDC2009T13	businessman Frank Lowy-19	jobTitle	businessman-17	1		The prime minister is suspected of intervening, while acting finance minister, on behalf of businessman Frank Lowy, who was attempting to secure an interest in the bank.
1222	LTW_ENG_20080405.0119.LDC2009T13	Former President Clinton-3	jobTitle	president-2	1		Former President Clinton has collected a whopping $51.9 million in appearance fees since leaving office in Jan. 2001 -- averaging about $150,000 per speech.
1245	LTW_ENG_20080405.0119.LDC2009T13	Indian- American businessman-13	nationality	American-12	1		Less clear is the link between the former president and Indian- American businessman Vinod Gupta, the founder of database vendor InfoUSA, which has been accused of offering call lists to predatory telemarketers.
1300	XIN_ENG_20080801.0167.LDC2009T13	Local provincial governor Osman Aydin-5	jobTitle	governor-3	1		Local provincial governor Osman Aydin was quoted as saying that the gas canister exploded at about 05:00 (0200 GMT) in Taskent town, causing a three-story girl student dormitory to collapse.
1305	XIN_ENG_20080801.0167.LDC2009T13	Malaysia's opposition leader-7	nationality	Malaysia-4	1		KUALA LUMPUR -- Malaysia's opposition leader Wan Azizah Wan Ismail has resigned from her MP's post to make way for her husband, former Malaysian Deputy Prime Minister Anwar Ibrahim to contest for the parliamentary membership, local media reported on Friday.
1353	AFP_ENG_20080511.0177.LDC2009T13	Oklahoma Governor Brad Henry-4	jobTitle	governor-2	1		Oklahoma Governor Brad Henry declared a state of emergency in the disaster area, and planned to visit it later Sunday.
1402	XIN_ENG_20080518.0007.LDC2009T13	King Abdullah II-3	jobTitle	king-1	1		King Abdullah II, who arrived here earlier in the day, was expected to deliver a speech at the inaugural session of the World Economic Forum on the Middle East later Sunday.
1493	APW_ENG_20070329.0735.LDC2009T13	British sailors and marines-18	nationality	British-15	1		Prime Minister Tony Blair's office on Thursday condemned the decision to show captured British sailors and marines on Iranian television.
1499	APW_ENG_20070329.0735.LDC2009T13	15 British sailors and marines-7	nationality	British-4	1		Iran captured 15 British sailors and marines last week in the Shatt al Arab waterway between Iraq and Iran.
1508	APW_ENG_20070329.0735.LDC2009T13	British officials-26	nationality	British-25	1		Iranian Foreign Minister Manouchehr Mottaki announced on Wednesday that British officials in Tehran would be given consular access to the seized personnel, but British officials said they were still waiting for that to happen.
1508	APW_ENG_20070329.0735.LDC2009T13	British officials-11	nationality	British-10	1		Iranian Foreign Minister Manouchehr Mottaki announced on Wednesday that British officials in Tehran would be given consular access to the seized personnel, but British officials said they were still waiting for that to happen.
1508	APW_ENG_20070329.0735.LDC2009T13	Iranian Foreign Minister Manouchehr Mottaki-5	nationality	Iranian-1	1		Iranian Foreign Minister Manouchehr Mottaki announced on Wednesday that British officials in Tehran would be given consular access to the seized personnel, but British officials said they were still waiting for that to happen.
1508	APW_ENG_20070329.0735.LDC2009T13	Iranian Foreign Minister Manouchehr Mottaki-5	jobTitle	foreign minister-3	1		Iranian Foreign Minister Manouchehr Mottaki announced on Wednesday that British officials in Tehran would be given consular access to the seized personnel, but British officials said they were still waiting for that to happen.
1560	APW_ENG_20070106.0172.LDC2009T13	USC's Thornton School of Music-12	city	Thornton-9		1	Alice remains on the faculty at USC's Thornton School of Music, where the sisters had been professors for nearly 50 years.
1562	APW_ENG_20070106.0172.LDC2009T13	a Russian mother-7	nationality	Russian-6	1		Born in Slovenia to a Russian mother and Polish father, Eleonore Schoenfeld studied ballet before switching to the cello at age 11.
1562	APW_ENG_20070106.0172.LDC2009T13	Polish father-10	nationality	Polish-9	1		Born in Slovenia to a Russian mother and Polish father, Eleonore Schoenfeld studied ballet before switching to the cello at age 11.
1577	AFP_ENG_20071214.0109.LDC2009T13	President George W. Bush-20	jobTitle	president-17	1		The United States is the only major industrial country to reject the Kyoto Protocol, with President George W. Bush arguing it is unfair by not making demands of fast-growing developing economies such as China, the second biggest emitter.
1582	XIN_ENG_20081125.0212.LDC2009T13	U.S. President George W. Bush-19	jobTitle	president-16	1		Israel will benefit by having a democratic Palestinian state that works for peace, U.S. President George W. Bush said Monday.
1583	XIN_ENG_20081125.0212.LDC2009T13	Israeli Prime Minister Ehud Olmert-36	jobTitle	prime minister-34	1		We strongly believe that Israel will benefit by having a Palestinian state, a democracy on her border that works for peace, Bush said before a meeting with Israeli Prime Minister Ehud Olmert at the White House.
1583	XIN_ENG_20081125.0212.LDC2009T13	Israeli Prime Minister Ehud Olmert-36	nationality	Israeli-32	1		We strongly believe that Israel will benefit by having a Palestinian state, a democracy on her border that works for peace, Bush said before a meeting with Israeli Prime Minister Ehud Olmert at the White House.
1590	XIN_ENG_20081125.0212.LDC2009T13	Secretary of State Condoleezza Rice and Vice President Dick Cheney-13	jobTitle	secretary of state-6	1		Olmert met with Secretary of State Condoleezza Rice and Vice President Dick Cheney prior to his meeting with Bush, which was described by the Israeli newspaper Haaretz as the farewell dinner for the outgoing leaders.
1590	XIN_ENG_20081125.0212.LDC2009T13	Vice President Dick Cheney-13	jobTitle	president-11		1	Olmert met with Secretary of State Condoleezza Rice and Vice President Dick Cheney prior to his meeting with Bush, which was described by the Israeli newspaper Haaretz as the farewell dinner for the outgoing leaders.
1601	APW_ENG_20070129.1041.LDC2009T13	Then-Prime Minister Jean-Pierre Raffarin-4	jobTitle	minister-2		1	Then-Prime Minister Jean-Pierre Raffarin said that hospitals were the next target.
1610	APW_ENG_20070129.1041.LDC2009T13	French Gynecologists and Obstetricians-32	nationality	French-29	1		I think the Oury case was the straw that broke the camel's back, said Emile Darai, secretary general of the National Congress of French Gynecologists and Obstetricians.
1637	APW_ENG_20070916.0099.LDC2009T13	President Felipe Calderon-8	jobTitle	president-6	1		In keeping with custom, President Felipe Calderon was to mark the start of Independence Day by stepping out on a National Palace balcony at 11:00 p.m. (0400GMT) and crying, Viva Mexico!
1639	APW_ENG_20070916.0099.LDC2009T13	Sen. Rosario Ibarra-21	jobTitle	sen.-19	1		But this year, in another corner of the plaza, thousands of Calderon's detractors led by Sen. Rosario Ibarra planned their own grito, or cry of independence.
1640	APW_ENG_20070916.0099.LDC2009T13	Mexico City Mayor Marcelo Ebrard-13	jobTitle	mayor-11	1		A third celebration was in the works by Mexico City Mayor Marcelo Ebrard.
1640	APW_ENG_20070916.0099.LDC2009T13	Mexico City Mayor Marcelo Ebrard-13	nationality	Mexico-9	1		A third celebration was in the works by Mexico City Mayor Marcelo Ebrard.
1641	APW_ENG_20070916.0099.LDC2009T13	leftist leader Andres Manuel Lopez Obrador-12	jobTitle	leader-8	1		Ibarra is a political ally of leftist leader Andres Manuel Lopez Obrador, who narrowly lost the July 2006 election to the conservative Calderon.
1658	NYT_ENG_20080110.0091.LDC2009T13	Virginia Tech-19	province	Virginia-18	1		It took the deaths of 32 students and faculty and the wounding of two dozen more at Virginia Tech last year to shame the recalcitrant into concurrence.
1678	NYT_ENG_20080110.0091.LDC2009T13	the new Virginia Tech law-6	province	Virginia-4	1		And the new Virginia Tech law notwithstanding, it will be ever thus, for however long the gun lobby owns the Republican Party outright and has Democrats terrified into comparable servitude.
1684	APW_ENG_20080819.0878.LDC2009T13	Russia's Foreign Minister-4	nationality	Russia-1	1		Russia's Foreign Minister has criticized NATO after the alliance warned that its cooperation with Moscow will depend on the pullout of troops from Georgia.
1699	NYT_ENG_20080516.0037.LDC2009T13	Jordan Staal-2	nationality	Jordan-1		1	Jordan Staal scored Pittsburgh's goals in the third period, his second score coming with 5 minutes 49 seconds remaining.
1728	XIN_ENG_20081124.0160.LDC2009T13	Venezuelan president-2	nationality	Venezuelan-1	1		Venezuelan president hails high voter turnout
1730	XIN_ENG_20081124.0160.LDC2009T13	Venezuelan President Hugo Chavez-4	jobTitle	president-2	1		Venezuelan President Hugo Chavez said on Sunday he was satisfied with the massive participation of his compatriots in the municipal and regional elections.
1730	XIN_ENG_20081124.0160.LDC2009T13	Venezuelan President Hugo Chavez-4	nationality	Venezuelan-1	1		Venezuelan President Hugo Chavez said on Sunday he was satisfied with the massive participation of his compatriots in the municipal and regional elections.
1745	APW_ENG_20070820.0711.LDC2009T13	Canadian Prime Minister Stephen Harper-5	nationality	Canadian-1	1		Canadian Prime Minister Stephen Harper went to the Arctic earlier this month and announced Canada will build a new army training center and a deep-water port in the Northwest passage.
1745	APW_ENG_20070820.0711.LDC2009T13	Canadian Prime Minister Stephen Harper-5	jobTitle	prime minister-3	1		Canadian Prime Minister Stephen Harper went to the Arctic earlier this month and announced Canada will build a new army training center and a deep-water port in the Northwest passage.
1745	APW_ENG_20070820.0711.LDC2009T13	a new army training center-22	school	training-21		1	Canadian Prime Minister Stephen Harper went to the Arctic earlier this month and announced Canada will build a new army training center and a deep-water port in the Northwest passage.
1746	APW_ENG_20070820.0711.LDC2009T13	Canadian officials-42	nationality	Canadian-41	1		The summit involving Harper, U.S. President George W. Bush and Mexican President Felipe Calderon is largely about expanding economic cooperation among the three nations, but Harper will assert Canada's claim during a private meeting with Bush, Canadian officials said at a press briefing on the summit.
1746	APW_ENG_20070820.0711.LDC2009T13	Mexican President Felipe Calderon-15	jobTitle	president-13	1		The summit involving Harper, U.S. President George W. Bush and Mexican President Felipe Calderon is largely about expanding economic cooperation among the three nations, but Harper will assert Canada's claim during a private meeting with Bush, Canadian officials said at a press briefing on the summit.
1746	APW_ENG_20070820.0711.LDC2009T13	Mexican President Felipe Calderon-15	nationality	Mexican-12	1		The summit involving Harper, U.S. President George W. Bush and Mexican President Felipe Calderon is largely about expanding economic cooperation among the three nations, but Harper will assert Canada's claim during a private meeting with Bush, Canadian officials said at a press briefing on the summit.
1765	APW_ENG_20070820.0711.LDC2009T13	North American studies-47	nationality	American-46		1	The message for Canada and Mexico is that despite the ongoing emphasis on Iraq and terrorism in U.S. foreign policy ... the U.S. is investing time and attention on relationships with our own region, said Chris Sands, a scholar of North American studies and senior associate at the Center for Strategic and International Studies.
1864	LTW_ENG_20070823.0072.LDC2009T13	Japanese investors-38	nationality	Japanese-37	1		That view explains, in part, why there was a rush to convert investments back into yen last week: The currency is seen as a safe haven in times of volatile markets, and Japanese investors were with the pack that was fleeing the carry trade.
1878	APW_ENG_19981029.1082.LDC2007T07	Palestinian policemen-2	nationality	Palestinian-1	1		Palestinian policemen set up roadblocks around Sheik Ahmed Yassin's home.
1882	APW_ENG_19981029.1082.LDC2007T07	Sheik Ahmed Yassin-4	jobTitle	sheik-2	1		``Sheik Ahmed Yassin is under house arrest for security reasons,'' the Palestinian security services announced.
1935	APW_ENG_20070815.0586.LDC2009T13	Iraq leaders-18	nationality	Iraq-17	1		In the Iraqi capital, U.S. special forces and Iraqi soldiers detained three suspected al-Qaida in Iraq leaders and four Shiite militia suspects in separate raids Tuesday, the military said.
1972	APW_ENG_20071111.0643.LDC2009T13	Everton goalkeeper Tim Howard-13	jobTitle	goalkeeper-11	1		Shaun Wright- Phillips had a shot saved by Everton goalkeeper Tim Howard, who then leapt to block a shot from Frank Lampard.
1977	APW_ENG_20071111.0643.LDC2009T13	Manchester City goalkeeper Joe Hart-5	jobTitle	goalkeeper-3	1		Manchester City goalkeeper Joe Hart made several saves to keep a clean sheet at Portsmouth.
2026	NYT_ENG_20080321.0174.LDC2009T13	Tennessee forward Tyler Smith-4	city	Tyler-3	1		Tennessee forward Tyler Smith said.
2029	NYT_ENG_20080321.0174.LDC2009T13	American fans-6	nationality	American-5	1		The arena section where American fans were sitting was revved up and hoping for more of Carr.
2049	NYT_ENG_20080321.0174.LDC2009T13	American guard Derrick Mercer-20	nationality	American-17	1		Carr plays 40 minutes and Mercer plays 39, Pearl said, referring to American guard Derrick Mercer.
2178	APW_ENG_20080103.0491.LDC2009T13	Kenya attorney-2	nationality	Kenya-1	1		Kenya attorney general calls for independent tally of disputed vote
2181	APW_ENG_20080103.0491.LDC2009T13	President Mwai Kibaki winner of the Dec. 27 vote-15	jobTitle	president-7	1		Kenya's electoral commission had named President Mwai Kibaki winner of the Dec. 27 vote, but rival Raila Odinga alleges fraud and says the vote was rigged.
2219	NYT_ENG_20070723.0163.LDC2009T13	a former Boston lawyer who is vice president of SpeedReading People-40	jobTitle	president-37		1	It's tough, it's an art, and most people learn through the course of their lives and personal interactions, said Rob Toomey, a former Boston lawyer who is vice president of SpeedReading People.
2249	CNA_ENG_20070911.0035.LDC2009T13	Premier Chang Chun-hsiung and Minister of Justice-13	jobTitle	premier-7	1		Also present at the seminar were Premier Chang Chun-hsiung and Minister of Justice Shih Mao-lin.
2318	AFP_ENG_20071027.0320.LDC2009T13	the North Korean prime minister-9	nationality	North Korean-7	1		During his visit, the North Korean prime minister is due to visit the Ha Tu coal mines in the northeast of the country, where he is also expected to go to the scenic tourist spot of Halong Bay.
2320	APW_ENG_20081115.0840.LDC2009T13	Italian Scoring Leaders-3	nationality	Italian-1	1		Italian Scoring Leaders
2387	NYT_ENG_20080203.0075.LDC2009T13	former Vice President Dan Quayle-31	jobTitle	president-29		1	Former Dallas Cowboys quarterback Roger Staubach, who's leading the planning effort for the 2011 Super Bowl in North Texas, stopped by, and former Vice President Dan Quayle popped in to rub elbows with the legendary ballplayer.
2406	LTW_ENG_20080307.0008.LDC2009T13	the Virginia General Assembly-8	province	Virginia-6	1		Legislation is progressing in the Virginia General Assembly that would pull the state out of the No Child Left Behind law's oversight.
2422	LTW_ENG_20080307.0008.LDC2009T13	Virginia lawmakers-10	province	Virginia-9	1		The federal law surely has flaws, but Virginia lawmakers are kidding themselves in claiming that state practices are sufficient.
2433	AFP_ENG_20080816.0188.LDC2009T13	the 1936 Montreux Convention-22	city	Montreux-21		1	Turkey's NTV news channel reported Saturday that the two ships' tonnage exceeded the limits set by the 1936 Montreux Convention, which governs international traffic through the Bosphorus and Dardanelles straits.
2436	NYT_ENG_20080121.0027.LDC2009T13	the Rev. Dr. Martin Luther King Jr.-25	jobTitle	king-24		1	The leader of one of America's most venerable civil rights groups kicked off his annual celebration of the Rev. Dr. Martin Luther King Jr. in what might have once seemed an unlikely fashion: by ringing the opening bell Friday morning at the Nasdaq stock exchange.
2443	NYT_ENG_20080121.0027.LDC2009T13	Niger Innis-47	nationality	Niger-46		1	Barack's campaign -- like him or not, support his policies or his politics or not -- the brilliance of this black man winning in Iowa and nearly winning in New Hampshire is a huge victory for Dr. King's dream, Niger Innis said.
2612	LTW_ENG_20070124.0139.LDC2009T13	actor and actress categories-11	jobTitle	actress-10		1	The film did get nods in supporting actor and actress categories, for Eddie Murphy and Jennifer Hudson in roles that won them Golden Globes.
2624	LTW_ENG_20070124.0139.LDC2009T13	Clint Eastwood's World War II film-35	city	Eastwood-30		1	Joining ``Little Miss Sunshine,'' ``Babel'' and ``The Queen'' in the Best Picture category are ``Letters From Iwo Jima,'' Clint Eastwood's World War II film told from the Japanese perspective, and ``The Departed,'' Martin Scorsese's thriller -- the most mainstream of the big picks and the one with the biggest domestic box office, at $121 million.
2659	APW_ENG_20070303.0260.LDC2009T13	German veteran Ronny Ackermann-4	nationality	German-1	1		German veteran Ronny Ackermann won the gold medal on Saturday in the Nordic combined 15-kilometer event while Bill Demong took silver for America's first medal at the Nordic World Ski Championships.
