Run2	OpenIE-KBP with Stanford coref						Official tagging			Our tagging		
SF14_ENG_008	Richard Gage	Richard Gage	per:title	teacher	bolt-eng-DF-201-185517-395971	I agree, the moderator created interference, rather allowing any fluidity in the debate. </post> <post author="CHF" datetime="2008-07-05T15:54:00" id="p82"> <quote orig_author="Galileo"> you're just jealous! Richard Gage is a great teacher. He has a knack for illustrating concepts! 	1			1		
SF14_ENG_010	Sandra Herold	Sandra Herold	per:title	owner	APW_ENG_20090620.0438	The state's response could affect a high-stakes lawsuit the victim's family filed against the chimp's owner, Sandra Herold of Stamford, seeking $50 million in damages. Attorneys are weighing whether to sue others as well, but declined to comment further. 	 		1		1	
SF14_ENG_011	Adela Dworin	Adela Dworin	per:cities_of_residence	Havana	APW_ENG_20101202.0735	The leaders of Cuba's two main Jewish groups say they have not worked with Alan Gross, who is Jewish. While it is possible Gross was working with one of the other Jewish groups scattered across the island, they represent very small numbers of people. </P> <P> Adela Dworin, president of Havana's Temple Beth Shalom and Cuba's largest Jewish organization, the Jewish Community House, told The Associated Press it's possible Gross came to the center as one of hundreds of foreign visitors it receives each year. But she said she does not remember meeting him and he certainly was not doing any work with her group. 	 		1	1		don't infer residence from job
SF14_ENG_011	Adela Dworin	Adela Dworin	per:employee_or_member_of	Havana	APW_ENG_20101202.0735	The leaders of Cuba's two main Jewish groups say they have not worked with Alan Gross, who is Jewish. While it is possible Gross was working with one of the other Jewish groups scattered across the island, they represent very small numbers of people. </P> <P> Adela Dworin, president of Havana's Temple Beth Shalom and Cuba's largest Jewish organization, the Jewish Community House, told The Associated Press it's possible Gross came to the center as one of hundreds of foreign visitors it receives each year. But she said she does not remember meeting him and he certainly was not doing any work with her group. 	 		1		1	
SF14_ENG_011	Adela Dworin	Adela Dworin	per:title	president	XIN_ENG_20101201.0249	jailed U.S. contractor Alan Gross, who was arrested a year ago over charges of spying. </P> <P> Adela Dworin, vice president of the "Jewish Patronage," said, "I am very sorry for what happened to Gross," adding that "the saddest thing is that he wanted to 	1				1	
SF14_ENG_012	Alan Gross	Gross	per:city_of_birth	Potomac	APW_ENG_20101203.0757	Cuban officials have said previously the case is working its way through the legal system and there is nothing unusual about the period he has spent in jail. </P> <P> Gross, a native of Potomac, Maryland, was working for a firm contracted by USAID when he was arrested Dec. 3, 2009. His family denies he was spying, saying he brought communications equipment for use by the local Jewish community, not dissidents. 	1			1		
SF14_ENG_012	Alan Gross	Alan Gross	per:religion	Jewish	APW_ENG_20101202.0735	</P> <P> The leaders of Cuba's two main Jewish groups say they have not worked with Alan Gross, who is Jewish. While it is possible Gross was working with one of the other Jewish groups scattered across the island, they represent very small numbers of people. 	1			1		
SF14_ENG_012	Alan Gross	Alan Gross	per:spouse	Judy Gross	APW_ENG_20101025.0702	The wife of an American jailed in Cuba as an accused spy has written to Cuban President Raul Castro to apologize and plead for his release. </P> <P> Judy Gross' husband Alan Gross was arrested at the Havana airport in December 2009. He was working as a contractor for the U.S. Agency for International Development, the government office that provides economic and humanitarian assistance worldwide. 	1			1		
SF14_ENG_014	Mario Gonzalez	Gonzalez	per:siblings	Gonzalez	APW_ENG_20101025.0720	The video, which was removed from Youtube within hours, shows attorney Mario Gonzalez sitting in a chair, handcuffed and surrounded by five masked men pointing guns at him. </P> <P> Gonzalez is the brother of Patricia Gonzalez, who stepped down Oct. 3 as attorney general of the border state of Chihuahua when a new governor took office. Mario Gonzalez was kidnapped Thursday from his office. 	 	1		1		
SF14_ENG_015	George Sodini	George Sodini	per:cities_of_residence	Carnegie	APW_ENG_20090805.0717	<P> A person close to the Allegheny County coroner's office says the gunman was George Sodini who lived in Carnegie, just a few miles from the health club. The person wasn't authorized to comment on the gunman's identity and spoke on condition of anonymity. 	1			1		
SF14_ENG_016	Norris Church Mailer	Norris Church Mailer	per:stateorprovince_of_death	New York	NYT_ENG_20101121.0120	<HEADLINE> NORRIS CHURCH MAILER, ARTIST AND WRITER, DIES AT 61 </HEADLINE> <TEXT> <P> Norris Church Mailer, a woman bred in the rural poverty of Arkansas who married Norman Mailer and managed his career and family life over three decades while carving out her own niche as a writer, died Sunday at her home in New York. She was 61. </P> <P> The cause was the gastrointestinal cancer that she had battled 	1			1		
SF14_ENG_016	Norris Church Mailer	Norris Church Mailer	per:statesorprovinces_of_residence	New York	NYT_ENG_20101121.0120	<HEADLINE> NORRIS CHURCH MAILER, ARTIST AND WRITER, DIES AT 61 </HEADLINE> <TEXT> <P> Norris Church Mailer, a woman bred in the rural poverty of Arkansas who married Norman Mailer and managed his career and family life over three decades while carving out her own niche as a writer, died Sunday at her home in New York. She was 61. </P> <P> The cause was the gastrointestinal cancer that she had battled 	1			1		
SF14_ENG_019	John Graham	John	per:cities_of_residence	Vancouver	eng-NG-31-126982-9181310	were friends and both had been involved in the struggle for Native rights. At the time of his arrest, John had been living in Vancouver for several years. Arlo Looking Cloud was convicted of first degree murder in a trial that lasted three days (The same judge is assigned 	1			1		
SF14_ENG_019	John Graham	John Graham	per:cities_of_residence	Whitehorse	APW_ENG_20101208.0088	U.S. Marshal Robert Ecoffey and Bureau of Indian Affairs special agent Mitch Pourier testified Tuesday that they met with Graham in April 1994 in the western Canada town of Whitehorse, where Graham lived at the time. The agents said Graham told them he drove Aquash from Denver to a "safe house" in South Dakota, but he denied killing her. 	1			1		
SF14_ENG_019	John Graham	Graham	per:city_of_birth	La Cumbre	NYT_ENG_20100310.0035	Institute of Chicago, should be "clear, free of fashion and simple statements of the truth." </P> <P> Bruce John Graham was born on Dec. 1, 1925, in La Cumbre, a small town outside Cali, Colombia. His father, an international banker born in Canada, traveled widely. Within a few years the 	 		1	1		wrong John Graham?
SF14_ENG_019	John Graham	John Graham	per:origin	Canadian	eng-NG-31-126982-8246059	from dragging ANY Canadian citizen across the border.......without any kind of proof of guilt or innocence. John Graham is Native, but is case will affect all Canadian Citizens.  news:1187844848.662114.302570@r23g2000prd.googlegroups.com ...&gt; People 	 		1	1		justification says "Native", not Canadian
SF14_ENG_020	Annie Mae Aquash	Annie Mae Aquash	per:employee_or_member_of	American Indian Movement	APW_ENG_20100422.1345	A federal jury has found a man not guilty of murder in a 34-year-old slaying of an American Indian activist. </P> <P> Richard Marshall was accused of providing the gun used to kill American Indian Movement activist Annie Mae Aquash in December 1975. He was found not guilty of first-degree murder. </P> <P> Jurors deliberated for less than two hours Thursday before reaching the verdict on the trial's seventh day. Marshall hugged his attorney when the verdict was read, and cheering erupted in the courtroom. Marshall nodded and smiled at departing jurors. 	1			1		
SF14_ENG_020	Annie Mae Aquash	Annie Mae Aquash	per:origin	American	APW_ENG_20100422.1345	A federal jury has found a man not guilty of murder in a 34-year-old slaying of an American Indian activist. </P> <P> Richard Marshall was accused of providing the gun used to kill American Indian Movement activist Annie Mae Aquash in December 1975. He was found not guilty of first-degree murder. </P> <P> Jurors deliberated for less than two hours Thursday before reaching the verdict on the trial's seventh day. Marshall hugged his attorney when the verdict was read, and cheering erupted in the courtroom. Marshall nodded and smiled at departing jurors. 	 		1		1	
SF14_ENG_020	Annie Mae Aquash	Annie Mae Aquash	per:title	activist	APW_ENG_20100422.1345	Richard Marshall was accused of providing the gun used to kill American Indian Movement activist Annie Mae Aquash in December 1975. He was found not guilty of first-degree murder. </P> <P> Jurors deliberated for less than two hours Thursday before reaching the verdict on the trial's seventh day. Marshall hugged his attorney when the verdict was read, and cheering erupted in the courtroom. Marshall nodded and smiled at departing jurors. 	1				1	activist okay as title
SF14_ENG_022	Heloise	Heloise	per:date_of_death	1977-XX-XX	LTW_ENG_20090806.0090	delicates to a crisp on high in the clothes dryer. </P> <P> "I learn from students and I challenge them," says Heloise, 58, who took over the family hints business when her mother, also named Heloise, died in 1977. Her column "Hints From Heloise" appears in more than 350 newspapers, and she has written 11 books on lifestyle tips. 	 		1	1		wrong Heloise?
SF14_ENG_024	Ruben van Assouw	Ruben	per:cities_of_residence	Tilburg	AFP_ENG_20100515.0391	anything more. I really want to go home." </P> <P> The Dutch newspaper Brabants Dagblad said Ruben was probably from Tilburg in the southern Netherlands and that he had been on safari in South Africa with his 	 		1	1		don't infer residence from "probably from"
SF14_ENG_033	Wen Qiang	Wen Qiang	per:charges	bribery	XIN_ENG_20100412.0471	Monday's court trial and received jail terms ranging from 18 months to 18 years. </P> <P> Wen Qiang, 55, who stood trial at the Chongqing No. 5 Intermediate People's Court between Feb. 2 and 7, was charged with bribery, rape and gang affiliations. But no verdict was yet given. </P> </TEXT> 	1			1		
SF14_ENG_033	Wen Qiang	Wen Qiang	per:cities_of_residence	Chongqing	AFP_ENG_20100811.0137	Former senior police official Chen Tao was jailed for corruption. </P> <P> Chen was an associate of Wen Qiang, the former head of Chongqing's judiciary and an ex-deputy police chief who was executed last month for charges including rape 	1			1		
SF14_ENG_033	Wen Qiang	Wen Qiang	per:employee_or_member_of	Chongqing	AFP_ENG_20100811.0137	Former senior police official Chen Tao was jailed for corruption. </P> <P> Chen was an associate of Wen Qiang, the former head of Chongqing's judiciary and an ex-deputy police chief who was executed last month for charges including rape 	1			1		
SF14_ENG_033	Wen Qiang	Wen Qiang	per:title	deputy director	XIN_ENG_20091110.0411	judicatory officials had been found to be involved in organized crimes. </P> <P> Wen Qiang, former deputy director of Chongqing's public security department, was found to have shielded criminal gangs and committed other crimes while holding 	1			1		
SF14_ENG_035	Chen Tao	Chen Tao	per:employee_or_member_of	Shanghai Hongqiao Airport	AFP_ENG_20090812.0589	After they took off their huge hats and big sunglasses following our request, we saw them looking different, with bandages and stitches here and  there, Shanghai Hongqiao Airport officer Chen Tao told the paper. </P> <P> "We had to compare their uncorrected parts with their photos very carefully," he 	 		1	1		wrong Chen Tao?
SF14_ENG_035	Chen Tao	Chen Tao	per:title	officer	AFP_ENG_20090812.0589	we saw them looking different, with bandages and stitches here and  there," Shanghai Hongqiao Airport officer Chen Tao told the paper. </P> <P> "We had to compare their uncorrected parts with their photos very carefully," he 	 		1	1		wrong Chen Tao?
SF14_ENG_036	Michael Lomax	Michael Lomax	per:employee_or_member_of	United Negro College	eng-NG-31-141808-9968123	nothing goes counter to our values as a museum, and nothing is counter to what the Smithsonian is.&quot;  Initial contributors to the Memory Book are Willie Brown, former mayor of San Francisco; Michael Lomax, president of the United Negro College Fund; 	1			1		
SF14_ENG_036	Michael Lomax	Michael Lomax	per:title	president	eng-NG-31-141808-9968123	nothing goes counter to our values as a museum, and nothing is counter to what the Smithsonian is.&quot;  Initial contributors to the Memory Book are Willie Brown, former mayor of San Francisco; Michael Lomax, president of the United Negro College Fund; 	1			1		
SF14_ENG_037	Assaf Ramon	Assaf Ramon	per:parents	Ilan Ramon	AFP_ENG_20090914.0075	Assaf Ramon, 21, died on Sunday when the F-16 fighter jet he was flying crashed in the southern hills of the occupied West Bank. </P> <P> He was the eldest son of Ilan Ramon, a fighter pilot who became the Jewish state's first and only astronaut and is regarded as a national hero, and the 	1			1		
SF14_ENG_037	Assaf Ramon	he	per:title	pilot	AFP_ENG_20090914.0256	In July he began an advanced flight training course and Sunday's crash occurred during routine training. His performance up to now indicated he was a good pilot, media reported. </P> <P> A military spokeswoman said an inquiry had been launched and that all of the air 	1			1		
SF14_ENG_042	Charles Ble Goude	Charles Ble Goude	per:employee_or_member_of	Young Patriots	AFP_ENG_20101207.0318	They included former ambassador to the United Nations Alcide Djedje as the foreign minister and Charles Ble Goude, the leader of the fiercely pro-Gbagbo Young Patriots student movement as minister for youth. </P> <P> Gbagbo's old rival Alassane Ouattara has already named his own government after 	 		1	1		wrong Charles Ble Goude?
SF14_ENG_042	Charles Ble Goude	Charles Ble Goude	per:title	minister	XIN_ENG_20101230.0147	Gbagbo has so far refused to concede power, threatening to reignite the country's 2002 - 2003 civil war. Charles Ble Goude is Gbagbo's minister for youth. </P> <P> Currently the UN Operation in Cote d'Ivoire (UNOCI) has a significant number of 	 	1			1	
SF14_ENG_043	Matteo Messina Denaro	Denaro	per:siblings	Salvatore	AFP_ENG_20100315.0269	Maroni said in Milan, adding that he was "confident that we will soon arrest him as well." </P> <P> The 19 under arrest, including Denaro's brother Salvatore, face charges of Mafia association, illegal transfer of goods and extortion, according to Italian 	1			1		
SF14_ENG_044	Terry Jupp	Terry Jupp	per:date_of_death	2002-XX-XX	APW_ENG_20100803.0092	A long-awaited investigation into the death of a British scientist killed during secret U.K.-U.S. experiments to build homemade bombs likely to be used by terrorists is scheduled to begin Tuesday. </P> <P> Coroner Peter Dean will open an inquest into the death of Terry Jupp, who died in 2002 during weapons tests on a remote island used as a military facility off England's eastern coast. 	1			1		
SF14_ENG_048	Arline Kercher	Kercher	per:children	Kercher	APW_ENG_20091204.0421	-- Jan. 16, 2009. Trial of Knox and Sollecito opens in Perugia before presiding Judge Giancarlo Massei. </P> <P> -- June 6, 2009. Kercher's mother, Arline Kercher, tells court in emotional testimony that she will never get over her daughter's brutal death	 	1		1		
SF14_ENG_049	Amanda Knox	Knox	per:other_family	Janet Huff	AFP_ENG_20091205.0300	tried to engage Kercher, 21, in a sex game that turned violent, leaving her dead with stab wounds to the neck. </P> <P> Knox's aunt Janet Huff told CNN: "We are just crushed." </P> <P> When asked what had "most damaged" Knox's case, Huff said: "The media from the 	1			1		
SF14_ENG_049	Amanda Knox	Amanda Knox	per:parents	Curt Knox	APW_ENG_20101108.0474	Knox is serving a 26-year prison term after she was convicted of murder and sexual assault in December. She has denied murdering Kercher, a 21-year-old Briton, and her appeal is set to begin Nov. 24. </P> <P> Curt Knox, Amanda Knox's father, told The Early Show on CBS on Monday that "this is going to be her chance once again to have that wrongful conviction overturned." 	1			1		
SF14_ENG_050	Laura Silsby	Laura Silsby	per:employee_or_member_of	New Life Children's Refuge	AFP_ENG_20100202.0322	like to adopt Haitian children, that we must wait on the right registration." </P> <P> Laura Silsby, head of New Life Children's Refuge, has insisted the group's aims were entirely altruistic. </P> <P> "We came here literally to just help the children. Our intentions were good," 	1			1		
SF14_ENG_050	Laura Silsby	Laura Silsby	per:origin	American	AFP_ENG_20100209.0502	Ecuador's Rafael Correa, who visited Port-au-Prince in late January to deliver humanitarian aid. </P> <P> In Port-au-Prince, Laura Silsby, the leader of the 10 American missionaries arrested at the Dominican border for trying to smuggle out a busload of 	1			1		
SF14_ENG_050	Laura Silsby	Laura Silsby	per:title	spokeswoman	APW_ENG_20100131.0568	In this chaos the government is in right now, we were just trying to do the right thing, the group's spokeswoman, Laura Silsby, told The Associated Press at the judicial police headquarters in the capital, where the Americans were being held pending a Monday hearing before a judge. 	1			1		
SF14_ENG_053	Koch Foods	Koch Foods	org:city_of_headquarters	Chicago	eng-NG-31-141827-9970105	simultaneous search warrants were executed at the plant near Cincinnati and Koch's Chicago headquarters.  Calls to Koch Foods, based in the Chicago suburb of Park Ridge, Illinois, were unanswered. Koch Foods is not affiliated with Wichita, 	 		1	1		suburb of Chicago is not Chicago?
SF14_ENG_055	Gay Men's Health Crisis	Gay Men's Health Crisis	org:alternate_names	GMHC	NYT_ENG_20100713.0129	organizations, she said, "but you know, from the responses you get, whether they want you in their building." </P> <P> For Gay Men's Health Crisis, known as GMHC, there were signs of resistance from building owners, said the group's chief executive, 	1			1		
SF14_ENG_061	Countrywide Financial	Countrywide	org:city_of_headquarters	Calabasas	APW_ENG_20101015.0743	Countrywide's lending practices are reportedly also the subject of a criminal probe in Los Angeles. U.S. attorney's office spokesman Thom Mrozek declined to comment about the situation. </P> <P> Countrywide was based in Calabasas, California. </P> </TEXT> 	1			1		
SF14_ENG_061	Countrywide Financial	Countrywide	org:founded_by	Angelo Mozilo	NYT_ENG_20100702.0097	push Bank of America to complete its acquisition of Merrill Lynch? Three? There was plenty of heat, but very little light. Angelo Mozilo, who founded Countrywide, and E. Stanley O'Neal, the former chief executive of Merrill Lynch, were berated for their gaudy 	1			1		
SF14_ENG_061	Countrywide Financial	Countrywide Financial	org:parents	Bank of America	WPB_ENG_20101206.0049	WASHINGTON POST-BLOOMBERG--12-06-10 1540ET </DATELINE> <TEXT> <P> WASHINGTON - When Bank of America agreed to buy Countrywide Financial for $4 billion in January 2008, the bank's chief executive, Kenneth Lewis, called it a 	 		1	1		agreed to buy is not parent company?
SF14_ENG_061	Countrywide Financial	Countrywide Financial	org:top_members_employees	Angelo Mozilo	NYT_ENG_20101015.0094	NEW YORK TIMES stories for Page 1, Saturday, Oct. 16. To reach the New York Times News Service, phone 888-346-9867 or 212-556-1927. TOP Lede story: COUNTRYWIDE-SETTLEMENT (Undated) </DATELINE> <TEXT> Angelo Mozilo, the former chief executive of Countrywide Financial; the former chief financial officer, Eric Sieracki; and the former president and chief operating officer, David Sambol, agreed to settle Securities and Exchange Commission accusations that they misled investors. By Gretchen Morgenson.dust settles.        (Story moved in the "f" news file.) 	1			1		
SF14_ENG_061	Countrywide Financial	Countrywide	org:top_members_employees	Angelo R.	LTW_ENG_20090605.0095	</HEADLINE> <TEXT> <P> The Securities and Exchange Commission Thursday charged former Countrywide chief Angelo R. Mozilo, who ran the nation's largest subprime mortgage lender, with fraud, making him the most prominent executive accused 	 	1		1		
SF14_ENG_061	Countrywide Financial	Countrywide	org:top_members_employees	David Sambol	NYT_ENG_20101015.0137	The deal came just four days before a jury trial was scheduled to begin in Los Angeles. David Sambol, the former president of Countrywide, and Eric Sieracki, the former chief financial officer, were also sued by the SEC. Both men settled their cases Friday as 	1				1	
SF14_ENG_061	Countrywide Financial	Countrywide Financial	org:top_members_employees	Rich Miller	NYT_ENG_20090729.0112	all the way through for junk fees. It's a license to do whatever they want." </P> <P> Rich Miller, a governance project manager at Countrywide Financial and Bank of America before he left in January, said Bank of America had been reluctant to modify loans, which hurts the 	 		1		1	governance project manager is not top employee?
SF14_ENG_062	High Point Church	High Point Church	org:date_founded	2000-XX-XX	eng-NG-31-128498-8356293	&gt;&gt;lie.&quot; She said she provided numerous family pictures of Sinclair, &gt;&gt;including some with his partner, but said none showed men kissing or hugging. &gt;&gt;The 5,000-member High Point Church was founded in 2000 by Simons 	1			1		
SF14_ENG_062	High Point Church	High Point Church	org:founded_by	Simons	eng-NG-31-128498-8356293	&gt; &gt; &gt; &gt; lie.&quot; She said she provided numerous family pictures of Sinclair, including &gt; &gt; &gt; &gt; some with his partner, but said none showed men kissing or hugging.  &gt; &gt; &gt; &gt; The 5,000-member High Point Church was founded in 2000 by Simons and &gt; &gt; &gt; &gt; his wife, April, whose brother is Joel Osteen, well-known pastor of the 	1			1		
SF14_ENG_066	Central American Parliament	Central American Parliament	org:top_members_employees	Jacinto Suarez Espinoza	CNA_ENG_20100708.0019	This policy has allowed us to further  promote bilateral cooperation, which is mutually beneficial, he said while receiving a delegation led by Jacinto Suarez Espinoza, president of the Central American Parliament. </P> <P> According to Ma, friendship between Taiwan and Central America has been 	1			1		
SF14_ENG_069	Zirh	Zirh	org:date_founded	1995-XX-XX	APW_ENG_20090616.1261	Cincinnati-based P&amp;G, whose many personal-care products oriented toward women include Olay skin creams and CoverGirl makeup, began a major move into male grooming by obtaining the Gillette and Braun brands with the 2005 acquisition of Boston-based Gillette Co. </P> <P> New York-based Zirh was founded in 1995 and makes products using natural oils and extracts. Among them are shaving creams and gels with ingredients such as aloe vera and seaweed extract. 	1			1		
SF14_ENG_071	Dance Theatre of Harlem	Dance Theatre of Harlem	org:founded_by	Karel Shook	LTW_ENG_20091120.0048	The European repertoire returns me to the issue of diversity. </P> <P> In 1968, when Arthur Mitchell and Karel Shook founded Dance Theatre of Harlem as a separate-but-equal black ballet company, Mitchell was New York City Ballet's only African American principal dancer. Today, City Ballet 	1			1		
SF14_ENG_072	National Urban League	National Urban League	org:top_members_employees	Marc Morial	LTW_ENG_20090922.0032	Obama's speech to Congress, the incandescent anger at rowdy town hall meetings and last weekend's protest march on the Capitol. </P> <P> Marc Morial, president of the National Urban League, said the president is attempting "a balancing act" that Morial first witnessed decades ago when 	1			1		
SF14_ENG_075	National Restaurant Association	National Restaurant Association	org:top_members_employees	Cain	bolt-eng-DF-170-181103-8893025	» 80 comments Mika Brzezinski criticized Herman Cain accuser Sharon Bialek Tuesday on Morning Joe, calling her press conference a “pathetic sideshow�? and asking why she didn’t speak out before when Cain was head of the National Restaurant Association. “He was powerful before he was running for president. And nobody spoke out then. 	 	1		1		
SF14_ENG_075	National Restaurant Association	National Restaurant Association	org:top_members_employees	Dawn Sweeney	LTW_ENG_20091219.0105	A few raised the possibility that they could turn against the bill if their concerns were not addressed sufficiently. For example, the National Restaurant Association's chief, Dawn Sweeney, said she will poll her board this weekend on whether to oppose the bill if key changes are not 	1			1		
SF14_ENG_078	ALICO	ALICO	org:number_of_employees_members	12,500	WPB_ENG_20100308.0074	total loss of $10.9 billion for the year, but that marked a vast improvement over its $99.3 billion loss in 2008. </P> <P> According to AIG, Alico serves 20 million customers and employs 12,500 people around the world, including in Europe, Asia, the Middle East, Africa and Latin 	1			1		
SF14_ENG_078	ALICO	ALICO	org:parents	AIG	APW_ENG_20100308.0614	<DOC id="APW_ENG_20100308.0614" type="story" > <HEADLINE> AIG sells Alico unit to MetLife for $15.5 billion </HEADLINE> <DATELINE> NEW YORK 2010-03-08 13:32:42 UTC 	 	1		1		
SF14_ENG_079	Alessi	Alessi	org:date_founded	1921-XX-XX	WPB_ENG_20101028.0046	joining stores in Chicago, Los Angeles, New York (two stores), Phoenix and San Francisco. </P> <P> Alessi was founded in 1921, and store shelves hold a history of familiar household items, such as the Dr. Skud fly swatter ($16) by French design 	 		1	1		wrong Alessi?
SF14_ENG_079	Alessi	Alessi	org:top_members_employees	Alberto Alessi	APW_ENG_20101011.0125	You can look at it with the idea it is just injecting a little bit of fun into your everyday life, like why not have an orange dish rack. If that makes you happy ... it's a way to improve life, Buchanan said. </P> <P> Alberto Alessi, president of the Italian design firm Alessi, will speak Nov. 18 at the museum about the role his family's business has played in bringing creative and functional design to the world market. 	1			1		
SF14_ENG_081	BedBug Central	BedBug Central	org:top_members_employees	Phillip Cooper	AFP_ENG_20100922.0127	</P> <P> There is unfortunately no silver bullet for eradicating bed bugs, said Phillip Cooper, president of BedBug Central, a for-profit educational organization which hosted the conference. </P> <P> "Nothing works on its own," said Cooper, who also runs a pest-control company 	1			1		
SF14_ENG_084	Greenberg Smoked Turkey	Greenberg Smoked Turkey	org:date_founded	1938-XX-XX	NYT_ENG_20101109.0075	house, for Thanksgiving and for Christmas. And she will ship another 20 to friends in Dallas, Houston and beyond. </P> <P> Greenberg Smoked Turkey, founded in 1938 by Samuel Isaac Greenberg and now run by his grandson, Sam Greenberg, will sell 	1			1		
SF14_ENG_084	Greenberg Smoked Turkey	Greenberg Smoked Turkey	org:founded_by	Samuel Isaac Greenberg	NYT_ENG_20101109.0075	house, for Thanksgiving and for Christmas. And she will ship another 20 to friends in Dallas, Houston and beyond. </P> <P> Greenberg Smoked Turkey, founded in 1938 by Samuel Isaac Greenberg and now run by his grandson, Sam Greenberg, will sell about 20,000 turkeys to walk-in customers this season, priced at a 	1			1		
SF14_ENG_085	Third Guard Division	Third Guard Division	org:date_founded	1941-XX-XX	XIN_ENG_20090728.0389	he had visited Chinese military bases several times and was impressed every time by the PLA's competence. </P> <P> The Third Guard Division, founded in 1941, has participated in more than 2,000 major battles and operations. </P> <P> The motorized infantry division is mainly responsible for the ground and air 	1			1		
SF14_ENG_086	National Congress of American Indians	National Congress of American Indians	org:date_founded	1944-XX-XX	APW_ENG_20101114.0645	I hope we can sit down and develop a strategy that will enable us to not only talk about those issues but carry them forward, to visit with our congressmen and our local law enforcement and other agencies and our communities so they can help us really step forward and alleviate some of our frustrations, Keel said. </P> <P> The National Congress of American Indians was founded in 1944 in response to assimilation policies being imposed on tribes by the federal government. Today, the group monitors federal policy and court actions and coordinates efforts to inform federal decisions that affect tribal interests. 	1			1		
SF14_ENG_086	National Congress of American Indians	National Congress of American Indians	org:stateorprovince_of_headquarters	Washington	APW_ENG_20100718.0007	You know that as a young person that you are sovereign, that you are not part of the United States, he said. "We were the first people here." </P> <P> The National Congress of American Indians, based in Washington, D.C., has advocated on behalf of the lacrosse team, urging British officials to allow the members entry into England on their Iroquois-issued passports. 	 	1			1	
