SentenceIndex	DocumentId	Entity	Relation	Slotfill	Correct	Incorrect	Sentence
640	AFP_ENG_20070425.0475.LDC2009T13	lawyer Uriel Meser-10	jobTitle	lawyer-8	1		The former business partner in question is lawyer Uriel Meser, who is widely credited with having Olmert elected as Jerusalem mayor in 1998.
663	AFP_ENG_20070426.0153.LDC2009T13	Chinese workers-11	nationality	chinese-10	1		The Ethiopia attack followed three separate kidnappings involving 14 Chinese workers in Nigeria this year.
677	AFP_ENG_20070427.0057.LDC2009T13	lawyer K.T.S. Tulsi-13	jobTitle	lawyer-11	1		A consensual kiss can never be an offence," lawyer K.T.S. Tulsi was quoted as saying.
699	AFP_ENG_20070513.0005.LDC2009T13	Sydney's Sun-Herald newspaper-53	city	sydney-50	1		World body FIFA has ruled the Asian Cup warm-up against Uruguay on June 2 is not classified as a full international match, so Spiranovic remains vulnerable to offshore offers until he plays at the Asian Cup in July or in a 2010 World Cup qualifier next year, Sydney's Sun-Herald newspaper said.
710	AFP_ENG_20070515.0382.LDC2009T13	Prime Minister Recep Tayyip Erdogan-6	jobTitle	prime minister-3	1		Turkish Prime Minister Recep Tayyip Erdogan warned French president-elect Nicolas Sarkozy Tuesday that hostility towards Turkey's bid to join the European Union would fan anti-Europe sentiments among Turks and damage bilateral ties.
710	AFP_ENG_20070515.0382.LDC2009T13	president-elect Nicolas Sarkozy-11	jobTitle	president-elect-9	1		Turkish Prime Minister Recep Tayyip Erdogan warned French president-elect Nicolas Sarkozy Tuesday that hostility towards Turkey's bid to join the European Union would fan anti-Europe sentiments among Turks and damage bilateral ties.
710	AFP_ENG_20070515.0382.LDC2009T13	French president-elect Nicolas Sarkozy-11	nationality	french-8	1		Turkish Prime Minister Recep Tayyip Erdogan warned French president-elect Nicolas Sarkozy Tuesday that hostility towards Turkey's bid to join the European Union would fan anti-Europe sentiments among Turks and damage bilateral ties.
710	AFP_ENG_20070515.0382.LDC2009T13	Turkish Prime Minister Recep Tayyip Erdogan-6	nationality	turkish-1	1		Turkish Prime Minister Recep Tayyip Erdogan warned French president-elect Nicolas Sarkozy Tuesday that hostility towards Turkey's bid to join the European Union would fan anti-Europe sentiments among Turks and damage bilateral ties.
711	AFP_ENG_20070515.0382.LDC2009T13	Christian club-29	religion	christian-28	1		"Mr. Sarkozy has to overcome his prejudices.... If we are to unite civilisations within the EU, if we say the EU is not a Christian club, then Mr. Sarkozy should review his opinions," Erdogan said at the annual assembly of the media watchdog International Press Institute in Istanbul.
797	AFP_ENG_20070530.0367.LDC2009T13	Russian journalist-8	nationality	russian-7	1		Gorbachev calls for justice for murdered Russian journalist by Conor Humphries
798	AFP_ENG_20070530.0367.LDC2009T13	Russian journalist Anna Politkovskaya-16	nationality	russian-13	1		Former Soviet leader Mikhail Gorbachev on Wednesday joined the family of murdered Russian journalist Anna Politkovskaya in calling for officials to step up their efforts to find her killers.
798	AFP_ENG_20070530.0367.LDC2009T13	Soviet leader Mikhail Gorbachev-5	nationality	soviet-2	1		Former Soviet leader Mikhail Gorbachev on Wednesday joined the family of murdered Russian journalist Anna Politkovskaya in calling for officials to step up their efforts to find her killers.
833	AFP_ENG_20070530.0478.LDC2009T13	Dutch veteran Brenda Schultz-29	nationality	dutch-26	1		Williams set the old mark of 204kmh (127mph) in 1998 in a quarter-final win against Mary Pierce in Zurich which was broken by Dutch veteran Brenda Schultz- McCarthy who hit a serve of 209kmh (130mph) in Cincinnati last July.
837	AFP_ENG_20070531.0432.LDC2009T13	German cyclist Erik Zabel-12	nationality	german-9	1		Exactly a week after his EPO confession, German cyclist Erik Zabel claimed his first victory of the season when he won the second stage of the Tour of Bavaria on Thursday.
841	AFP_ENG_20070531.0432.LDC2009T13	Australian Stuart O'Grady-17	nationality	australian-15	1		The Milram captain asserted himself over some stiff competition from team-mate Sebastian Siedler and Australian Stuart O'Grady.
849	AFP_ENG_20070602.0159.LDC2009T13	Palestinian information minister Mustapha Barghuti-5	nationality	palestinian-1	1		Palestinian information minister Mustapha Barghuti visited the scene, calling the operation a "big crime."
862	AFP_ENG_20070603.0167.LDC2009T13	Vice Premier Hui Liangyu-14	jobTitle	vice premier-12	1		In Beijing, Cabinet leaders including Premier Wen Jiabao and Vice Premier Hui Liangyu ordered the establishment of a special emergency task force to deal with the aftermath of the disaster.
887	AFP_ENG_20070616.0053.LDC2009T13	Yu Sy-tue, a spokesman-33	jobTitle	spokesman-33	1		"We hope the parliament will reconsider the freezed or cut items on the arms package in order to help enhance Taiwan's defence capabilities," said Yu Sy-tue, a spokesman for the defence ministry.
894	AFP_ENG_20070618.0458.LDC2009T13	Israel's new Defence Minister Ehud Barak-7	nationality	israel-1	1		Israel's new Defence Minister Ehud Barak was sworn in by parliament on Monday, following his political comeback as new Labour party chairman and Hamas's violent takeover of the Gaza Strip.
902	AFP_ENG_20070618.0458.LDC2009T13	Israel's most decorated soldier-10	nationality	israel-6	1		The 65-year-old, who is Israel's most decorated soldier, retired from public life in the wake of the failed Camp David peace talks with the Palestinians in 2000 which led to the outbreak of the second Palestinian uprising in September.
913	AFP_ENG_20070618.0478.LDC2009T13	Japan governor Toshihiko Fukui-19	jobTitle	governor-17	1		The Japanese currency came under renewed pressure Friday after a dovish speech from Bank of Japan governor Toshihiko Fukui suggested that interest rates would not rise again any time soon.
913	AFP_ENG_20070618.0478.LDC2009T13	Japan governor Toshihiko Fukui-19	nationality	japan-16	1		The Japanese currency came under renewed pressure Friday after a dovish speech from Bank of Japan governor Toshihiko Fukui suggested that interest rates would not rise again any time soon.
922	AFP_ENG_20070619.0343.LDC2009T13	author Salman Rushdie-22	jobTitle	author-20	1		Britain voiced "deep concern" Tuesday at reported comments by a Pakistani minister suggesting that the knighthood given to author Salman Rushdie could justify suicide attacks, the Foreign Office said.
922	AFP_ENG_20070619.0343.LDC2009T13	Pakistani minister-13	nationality	pakistani-12	1		Britain voiced "deep concern" Tuesday at reported comments by a Pakistani minister suggesting that the knighthood given to author Salman Rushdie could justify suicide attacks, the Foreign Office said.
931	AFP_ENG_20070620.0180.LDC2009T13	German officials-15	nationality	german-14	1		The devices failed to detonate, averting an almost certain bloodbath in what German officials said was a bid to copy the train blasts in Madrid and London.
979	AFP_ENG_20070702.0334.LDC2009T13	Athens International Airport-3	city	athens-1	1		Athens International Airport on Monday reported a 10.1-percent traffic increase in the first six months of 2007 to 7.4 million passengers and announced plans to triple its present capacity.
986	AFP_ENG_20070702.0334.LDC2009T13	Greek national carrier Olympic Airlines-5	nationality	greek-1	1		Greek national carrier Olympic Airlines is the airport's premier user with 34 percent of resources, followed by Greek private carrier Aegean Airlines (25 percent) and Germany's Lufthansa (three percent).
987	AFP_ENG_20070702.0334.LDC2009T13	Athens International Airport SA-4	city	athens-1	1		Athens International Airport SA was established in June 1996 under a partnership between the Greek state and a private consortium led by the German company Hochtief Aktiengesellshaft.
1011	AFP_ENG_20070704.0104.LDC2009T13	British diplomat-31	nationality	british-30	1		Russia has yet to respond formally to Britain's request five weeks ago to extradite the chief suspect in the London murder of ex-Russian agent Alexander Litvinenko, a British diplomat said Wednesday.
1012	AFP_ENG_20070704.0104.LDC2009T13	British Ambassador-28	nationality	british-27	1		"In the last five weeks we have not received an official answer to the request" to extradite Andrei Lugovoi, news agency Interfax quoted British Ambassador to Russia Anthony Brenton as saying in an interview.
1012	AFP_ENG_20070704.0104.LDC2009T13	Russia Anthony Brenton-32	nationality	russia-30	1		"In the last five weeks we have not received an official answer to the request" to extradite Andrei Lugovoi, news agency Interfax quoted British Ambassador to Russia Anthony Brenton as saying in an interview.
1013	AFP_ENG_20070704.0104.LDC2009T13	British prosecutors-2	nationality	british-1	1		British prosecutors have charged Lugovoi, a former KGB agent turned businessman, with murdering Litvinenko last November using the radioactive isotope polonium-210.
1015	AFP_ENG_20070704.0104.LDC2009T13	Russian citizens-9	nationality	russian-8	1		Russia has said its constitution forbids extraditing Russian citizens to face justice abroad, while Britain maintains that previous agreements with Russia allow it.
1042	AFP_ENG_20070718.0495.LDC2009T13	president Nelson Mandela-16	jobTitle	president-14	1		The opening sequence, which has been seen by AFP, shows former president Nelson Mandela warning Mbeki not to settle scores with opponents after the latter was elected unopposed as head of the ANC a decade ago.
1059	AFP_ENG_20070719.0644.LDC2009T13	TAM President Marco Antonio Bologna-14	jobTitle	president-11	1		"There is no sign of survivors," TAM President Marco Antonio Bologna said at a news conference.
1067	AFP_ENG_20070719.0644.LDC2009T13	French nationals-6	nationality	french-5	1		The victims included two French nationals, an Argentine and a Peruvian.
1078	AFP_ENG_20070720.0152.LDC2009T13	mayor Sardar Tariqullah-23	jobTitle	mayor-21	1		"Seventeen bodies have been recovered after about 40 to 50 people were swept away by flooding," local mayor Sardar Tariqullah told AFP by telephone from Upper Dir, some 320 kilometres (200 miles) northwest of Islamabad.
1092	AFP_ENG_20070723.0270.LDC2009T13	dictator General Francisco Franco-33	jobTitle	dictator-30	1		He was involved in setting up top-selling daily centre-left newspaper El Pais in 1976, a move helping to restore Spain's independent press following the 1975 death of dictator General Francisco Franco.
1112	AFP_ENG_20070808.0305.LDC2009T13	Prime Minister Nuri al-Maliki-22	jobTitle	prime minister-20	1		The renewed US accusations of Iranian interference -- which are routinely denied by Tehran -- came as Iraqi Prime Minister Nuri al-Maliki arrived in Tehran for talks on ways to improve security in the country.
1112	AFP_ENG_20070808.0305.LDC2009T13	Iraqi Prime Minister Nuri al-Maliki-22	nationality	iraqi-18	1		The renewed US accusations of Iranian interference -- which are routinely denied by Tehran -- came as Iraqi Prime Minister Nuri al-Maliki arrived in Tehran for talks on ways to improve security in the country.
1142	AFP_ENG_20070809.0474.LDC2009T13	Prime Minister Gusmao-3	jobTitle	prime minister-2	1		Prime Minister Gusmao, who heads a coalition of four parties that together hold 37 seats in the 65-seat parliament, heard the speech along with other cabinet members sitting in the legislature on their first day in office.
1192	AFP_ENG_20070821.0266.LDC2009T13	Basque militants-26	nationality	basque-25	1		Prime Minister Francois Fillon met with his Spanish counterpart Jose Luis Rodriguez Zapatero last month following a string of arrests in France of suspected Basque militants.
1192	AFP_ENG_20070821.0266.LDC2009T13	Prime Minister Francois Fillon-4	jobTitle	prime minister-2	1		Prime Minister Francois Fillon met with his Spanish counterpart Jose Luis Rodriguez Zapatero last month following a string of arrests in France of suspected Basque militants.
1214	AFP_ENG_20070822.0298.LDC2009T13	Czech prime minister-21	nationality	czech-19	1		Russia on Wednesday gatecrashed an EU monopoly on choosing the head of the IMF by nominating a former Czech prime minister and challenging the European Union to allow fair competition for the post.
1222	AFP_ENG_20070822.0298.LDC2009T13	EU candidate-21	nationality	eu-20	1		"As soon as the election process started, it quickly became clear that the unwritten rule about the EU candidate would be used.
1227	AFP_ENG_20070822.0298.LDC2009T13	Russian President Vladimir Putin-4	jobTitle	president-2	1		Russian President Vladimir Putin earlier this year called for a revolution in world economic relations, saying international institutions created by the West were "archaic, undemocratic and inflexible."
1227	AFP_ENG_20070822.0298.LDC2009T13	Russian President Vladimir Putin-4	nationality	russian-1	1		Russian President Vladimir Putin earlier this year called for a revolution in world economic relations, saying international institutions created by the West were "archaic, undemocratic and inflexible."
1228	AFP_ENG_20070822.0298.LDC2009T13	Roland Nash, chief economist-33	jobTitle	chief economist-33	1		"There is a sort of recognition amongst the larger emerging markets that they should have more say on what happens in international financial institutions," said Roland Nash, chief economist at Renaissance Capital.
1248	AFP_ENG_20070826.0202.LDC2009T13	(US Secretary of State Condoleezza Rice)-12	nationality	us-6	1		"I just had (US Secretary of State Condoleezza Rice) on the phone 10 or 15 minutes ago, and I told her, 'Listen, he's got to be replaced,'" Kouchner told the US magazine Newsweek, in an interview published Sunday following his August 19-21 trip to Baghdad.
1248	AFP_ENG_20070826.0202.LDC2009T13	Secretary of State Condoleezza Rice)-12	jobTitle	secretary of state-9	1		"I just had (US Secretary of State Condoleezza Rice) on the phone 10 or 15 minutes ago, and I told her, 'Listen, he's got to be replaced,'" Kouchner told the US magazine Newsweek, in an interview published Sunday following his August 19-21 trip to Baghdad.
1260	AFP_ENG_20070826.0202.LDC2009T13	French President Nicolas Sarkozy-24	nationality	french-21	1		Kouchner, a human rights activist and founder of the Doctors Without Borders charity before joining the new government of French President Nicolas Sarkozy in May, blasted some Iraqi leaders he met during his trip.
1260	AFP_ENG_20070826.0202.LDC2009T13	Iraqi leaders-31	nationality	iraqi-30	1		Kouchner, a human rights activist and founder of the Doctors Without Borders charity before joining the new government of French President Nicolas Sarkozy in May, blasted some Iraqi leaders he met during his trip.
1260	AFP_ENG_20070826.0202.LDC2009T13	French President Nicolas Sarkozy-24	jobTitle	president-22	1		Kouchner, a human rights activist and founder of the Doctors Without Borders charity before joining the new government of French President Nicolas Sarkozy in May, blasted some Iraqi leaders he met during his trip.
1309	AFP_ENG_20070828.0453.LDC2009T13	Malian security officials-38	nationality	malian-36	1		Tuareg rebels from a new group that has reneged on a peace accord with Mali's government on Sunday kidnapped 15 soldiers from an eastern town and fled in the direction of neighbouring Niger, Malian security officials said.
1321	AFP_ENG_20070904.0351.LDC2009T13	London Stock Exchange-22	city	london-20	1		State-owned Qatar Investment Authority (QIA), which is reportedly interested in buying almost a third of the London Stock Exchange, said Tuesday it was considering expanding in Asia.
1345	AFP_ENG_20070913.0040.LDC2009T13	US President George W. Bush-5	jobTitle	president-2	1		US President George W. Bush on Thursday embraced a limited troop draw-down from Iraq by mid-2008, but rejected calls for a full withdrawal and said his successor would inherit a US presence there.
1345	AFP_ENG_20070913.0040.LDC2009T13	US President George W. Bush-5	nationality	us-1	1		US President George W. Bush on Thursday embraced a limited troop draw-down from Iraq by mid-2008, but rejected calls for a full withdrawal and said his successor would inherit a US presence there.
1348	AFP_ENG_20070913.0040.LDC2009T13	the US commander-11	nationality	the us-10	1		Bush indicated that he had accepted advice from the US commander in Iraq, General David Petraeus, that would bring some 5,700 troops home by Christmas and a total of 21,500 combat troops out by mid-2008.
1365	AFP_ENG_20070913.0040.LDC2009T13	Iraqi Sunni sheikh, Sattar Abu Reesha-20	nationality	iraqi-14	1		Perino also denounced as an "outrage" the bombing that killed a top Iraqi Sunni sheikh, Sattar Abu Reesha, who spearheaded a campaign against Al-Qaeda in his restive home province of Anbar.
1367	AFP_ENG_20070913.0040.LDC2009T13	US soldiers-25	nationality	us-24	1		Opinion polls suggest that the war-weary US public is largely in favor of a swift withdrawal from Iraq, where more than 3,700 US soldiers and tens of thousands of Iraqis have been killed since the March 2003 invasion.
1376	AFP_ENG_20070913.0634.LDC2009T13	Former Australian captain Ian Chappell-5	nationality	australian-2	1		Former Australian captain Ian Chappell said Ricky Ponting's side was complacent and lacked respect for its opposition Thursday after a shock loss to minnows Zimbabwe in the Twenty20 world cup.
1384	AFP_ENG_20070913.0634.LDC2009T13	opponents, England-9	nationality	england-9	1		He also warned Australia's next opponents, England, to expect a backlash.
1389	AFP_ENG_20070913.0634.LDC2009T13	Sydney's Daily Telegraph-12	city	sydney-9	1		"Zimbabwe beats awful Australia," lamented Sydney's Daily Telegraph, while the Australian newspaper's website described the national team's performance as "embarrassing."
1393	AFP_ENG_20070917.0048.LDC2009T13	Former Burundian prime minister Gabriel Mpozagara-6	jobTitle	prime minister-4	1		Former Burundian prime minister Gabriel Mpozagara and his wife were sentenced Monday to between a year and 15 months in jail for keeping two of their nieces in slave-like conditions.
1410	AFP_ENG_20070918.0018.LDC2009T13	Danish writer Adam Oehenschlaeger-22	nationality	danish-19	1		The horns are a national symbol known to all and have even inspired a famous poem penned by Danish writer Adam Oehenschlaeger.
1416	AFP_ENG_20070920.0737.LDC2009T13	Lebanese member of parliament Antoine Ghanem-15	nationality	lebanese-10	1		"I strongly condemn today's horrific assassination of Lebanese member of parliament Antoine Ghanem," said Bush, who cited "a tragic pattern" of attacks against champions of "an independent and democratic Lebanon."
1428	AFP_ENG_20070920.0737.LDC2009T13	Secretary of State Condoleezza Rice-6	jobTitle	secretary of state-4	1		US Secretary of State Condoleezza Rice said the bombing was "another act in a campaign of terror by those who want to turn back the clock on Lebanon's hard won democratic gains."
1428	AFP_ENG_20070920.0737.LDC2009T13	US Secretary of State Condoleezza Rice-6	nationality	us-1	1		US Secretary of State Condoleezza Rice said the bombing was "another act in a campaign of terror by those who want to turn back the clock on Lebanon's hard won democratic gains."
1433	AFP_ENG_20070920.0737.LDC2009T13	Lebanese leaders-41	nationality	lebanese-40	1		"All light must be shed on the circumstances of this heinous crime and its perpetrators must be brought to justice," said Sarkozy, who, like Washington, linked it to other high-profile assassinations of anti-Syrian Lebanese leaders.
1442	AFP_ENG_20070922.0273.LDC2009T13	Manchester United midfielder Miller-7	city	manchester-4	1		Former Celtic and Manchester United midfielder Miller latched on to a Kenwyne Jones header to volley in an equaliser a minute from time after Boro had battled back from conceding an early goal to lead through Stewart Downing's superb strike.
1446	AFP_ENG_20070922.0273.LDC2009T13	Scotland goalkeeper Craig Gordon-29	jobTitle	goalkeeper-27	1		Debutant Gary O'Neil floated in a cross from the right and the Argentinian rose to met it with an emphatic header that left Sunderland's Scotland goalkeeper Craig Gordon with no chance.
1446	AFP_ENG_20070922.0273.LDC2009T13	Scotland goalkeeper Craig Gordon-29	nationality	scotland-26	1		Debutant Gary O'Neil floated in a cross from the right and the Argentinian rose to met it with an emphatic header that left Sunderland's Scotland goalkeeper Craig Gordon with no chance.
1461	AFP_ENG_20071004.0237.LDC2009T13	father, Captain Jakub Wajda-21	jobTitle	captain-19	1		Wajda, 81, said he was speaking out after learning that Katyn victims including his father, Captain Jakub Wajda, were to receive posthumous promotions.
1474	AFP_ENG_20071004.0237.LDC2009T13	Soviet leader Mikhail Gorbachev-11	nationality	soviet-8	1		It was only in 1990 that then Soviet leader Mikhail Gorbachev admitted his country's responsibility.
1483	AFP_ENG_20071005.0130.LDC2009T13	President Vladimir Putin-17	jobTitle	president-15	1		Moscow has said the system would create a "new Berlin wall," and President Vladimir Putin has suggested siting it in Azerbaijan instead.
1513	AFP_ENG_20071104.0132.LDC2009T13	Paris Masters-9	city	paris-8	1		Tennis: Nalbandian crushes Nadal to win Paris Masters
1516	AFP_ENG_20071104.0132.LDC2009T13	Madrid Masters-27	city	madrid-26	1		It was Nalbandian's second straight win in one of the Masters Series tournaments having defeated world No.1 Roger Federer in the final of the Madrid Masters last month.
1537	AFP_ENG_20071105.0457.LDC2009T13	French stock market regulator-20	nationality	french-17	1		Then in early October this year EADS was rocked anew by a press report that the French stock market regulator had prepared a document naming around 20 top EADS executives and shareholders alleged to have engaged in insider trading.
1538	AFP_ENG_20071105.0457.LDC2009T13	Paris judge-3	city	paris-2	1		A Paris judge is currently looking into accusations that management and shareholders sold their shares in the group just before the problems with the A380 were publicly disclosed in June 2006, prompting a 26 percent plunge in the EADS shareprice.
1546	AFP_ENG_20071106.0037.LDC2009T13	President Pervez Musharraf-27	jobTitle	president-25	1		The United States said Tuesday it has begun studying whether to suspend any of its multi-billion-dollar aid program to Pakistan as it again pressed President Pervez Musharraf to end emergency rule.
