Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
469	20371	XIN_ENG_20070131.0263.LDC2009T13	NF chief Gillaume Soro-46	jobTitle	chief-44	'Desire Tagro, Gbagbo''s special envoy, accompanied by Burkina Faso''s Security Minister Djibril Bassole on Tuesday, arrived in Bouake, a stronghold of the rebel group New Forces (NF), with the aim of establishing contacts with NF chief Gillaume Soro.'
470	20371	XIN_ENG_20070131.0263.LDC2009T13	'Burkina Faso''s Security Minister Djibril Bassole-17'	jobTitle	minister-15	'Desire Tagro, Gbagbo''s special envoy, accompanied by Burkina Faso''s Security Minister Djibril Bassole on Tuesday, arrived in Bouake, a stronghold of the rebel group New Forces (NF), with the aim of establishing contacts with NF chief Gillaume Soro.'
476	9763	APW_ENG_20080401.0928.LDC2009T13	The governor of the Middle Juba region, Hajir Bile Sugal,-12	jobTitle	governor-2	The governor of the Middle Juba region, Hajir Bile Sugal, told The Associated Press that the government has dispatched soldiers to a village near Buale where he heard the gunmen had fled.
478	2265	AFP_ENG_20080309.0384.LDC2009T13	President Pervez Musharraf-8	jobTitle	president-6	He was immediately pardoned by President Pervez Musharraf.
487	19516	NYT_ENG_20080915.0021.LDC2009T13	'Hank Steinbrenner, the Yankees'' co-chairman,-9'	jobTitle	co-chairman-8	'Although Hank Steinbrenner, the Yankees'' co-chairman, has complimented Girardi, the uninspiring season has created questions about his performance.'
492	11001	APW_ENG_20080727.0634.LDC2009T13	Public Safety spokesman Peter Olson-25	jobTitle	spokesman-23	A police helicopter was sent to rescue people reported to be standing on buildings and vehicles, state Department of Public Safety spokesman Peter Olson said.
509	12451	APW_ENG_20081114.0274.LDC2009T13	spokeswoman Jill Fritzo-24	jobTitle	spokeswoman-22	"Kristin is, of course, disappointed, as she was very excited to work with John Corigliano," spokeswoman Jill Fritzo said.
522	21880	XIN_ENG_20080826.0200.LDC2009T13	Prime Minister Topolanek-7	jobTitle	prime minister-6	The Czech government of Prime Minister Topolanek has backed Georgia in the recent conflict over South Ossetia.
539	11868	APW_ENG_20080924.0608.LDC2009T13	investigation leader Jari Neulaniemi-16	jobTitle	leader-14	"He really went out with the intention of killing," investigation leader Jari Neulaniemi said.
563	5847	APW_ENG_20070403.1031.LDC2009T13	'mayor Helen Zille''s-28'	jobTitle	mayor-25	'Approval for the building of the stadium was held up by local residents who questioned the positioning of the stadium, and then by mayor Helen Zille''s cautious approach to funding as she sought financial guarantees to cover potential building cost overruns.'
597	6251	APW_ENG_20070530.1322.LDC2009T13	German Foreign Minister Frank-9	jobTitle	foreign minister-8	The four Quartet diplomats -- German Foreign Minister Frank- Walter Steinmeier, U.S. Secretary of State Condoleezza Rice, Russian Foreign Minister Sergey Lavrov and U.N. chief Ban Ki-moon -- met at the Foreign Ministry in Berlin.
610	4702	APW_ENG_20070223.0894.LDC2009T13	President Toomas Hendrik Ilves-10	jobTitle	president-7	'The fight came one day after President Toomas Hendrik Ilves vetoed a law calling for the monument''s removal.'
620	6382	APW_ENG_20070608.1166.LDC2009T13	court spokesman Allan Parachini-10	jobTitle	spokesman-8	'Sauer''s decision was announced by court spokesman Allan Parachini shortly before the start of a hearing that could put her behind bars again for violating probation in a reckless driving case.'
623	6270	APW_ENG_20070531.0102.LDC2009T13	Mike Pound, a spokesman for Jeppesen,-8	jobTitle	spokesman-5	Mike Pound, a spokesman for Jeppesen, said company officials had not yet seen the lawsuit and had no immediate comment.
632	7313	APW_ENG_20070820.0711.LDC2009T13	Canadian Prime Minister Stephen Harper-5	jobTitle	prime minister-3	Canadian Prime Minister Stephen Harper went to the Arctic earlier this month and announced Canada will build a new army training center and a deep-water port in the Northwest passage.
646	20677	XIN_ENG_20070621.0245.LDC2009T13	Togolese youth and sports minister Richard Kwaku Attipoe-28	jobTitle	minister-25	According to the minister, among those who died in the crash, there were 11 Togolese nationals, including Togolese youth and sports minister Richard Kwaku Attipoe, two French pilots and a Senegalese national living in Togo.
706	21144	XIN_ENG_20071205.0313.LDC2009T13	Togolese Public Service Minister Foli-Bazi Katari-6	jobTitle	minister-4	Togolese Public Service Minister Foli-Bazi Katari said the government will support "any efforts deployed to prevent leadership squabbles experienced by a number of unions in the country."
733	8302	APW_ENG_20071019.0369.LDC2009T13	metropolitan Manila police chief Geary Barias-23	jobTitle	chief-21	The lunchtime blast rocked the restaurant in Makati, near the busy Glorietta shopping complex, said metropolitan Manila police chief Geary Barias.
743	11392	APW_ENG_20080813.0002.LDC2009T13	New York Governor DeWitt Clinton-22	jobTitle	governor-20	'ALBANY, New York -- When the Erie Canal was first proposed in 1808, many thought New York Governor DeWitt Clinton was foolish for pursuing the idea -- they derided it as "Clinton''s ditch."'
757	14643	LTW_ENG_20080715.0045.LDC2009T13	Hopkinson, author of foodie favorite "Roast Chicken and Other Stories-30	jobTitle	author-21	Last fall, Quadrille published a collection of weekly columns that ran in the Independent, written by Hopkinson, author of foodie favorite "Roast Chicken and Other Stories."
771	457	AFP_ENG_20070221.0575.LDC2009T13	Federal Reserve chief Ben Bernanke-20	jobTitle	chief-18	'US consumer prices jumped in January, the government reported Wednesday, a week after Federal Reserve chief Ben Bernanke warned that inflation remains the central bank''s top concern.'
772	21859	XIN_ENG_20080813.0595.LDC2009T13	Chinese captain Li Weifeng-18	jobTitle	captain-16	'"I don''t want to make any excuses for our loss," Chinese captain Li Weifeng said.'
777	7709	APW_ENG_20070914.0302.LDC2009T13	Richard Whelden, deputy mission director for the U.S. Agency for International Development in Bangkok-34	jobTitle	deputy mission director-25	"I understand that there has been a lot of public awareness in Padang and Bengkulu," said Richard Whelden, deputy mission director for the U.S. Agency for International Development in Bangkok.
781	8888	APW_ENG_20071213.0515.LDC2009T13	Sen. Thad Cochran-15	jobTitle	sen.-13	More recently, Democrats worked with pragmatic appropriations panel Republicans such as Sen. Thad Cochran and Rep. James Walsh to craft a split-the-differences bill cutting $11 billion (euro7.4 billion) from the earlier Democratic measures.
794	16943	NYT_ENG_20070917.0130.LDC2009T13	Prime Minister Gordon Brown-13	jobTitle	prime minister-11	'Members of Britain''s opposition Conservative party Monday blamed Prime Minister Gordon Brown for ignoring warnings of a "looming debt crisis" for the past four years and for encouraging consumers to take on record debt when he was chancellor of the Exchequer during this period.'
863	9118	APW_ENG_20080112.0653.LDC2009T13	Fayyaz Ahmad, an area police chief-30	jobTitle	chief-30	Meanwhile, police fatally shot two suspected militants in a shootout late Friday in Multan, a city in Punjab province, said Fayyaz Ahmad, an area police chief.
923	14840	LTW_ENG_20080929.0015.LDC2009T13	Powerful Moscow Mayor Yuri M. Luzhkov-6	jobTitle	mayor-3	'Powerful Moscow Mayor Yuri M. Luzhkov, who has been banned from Ukraine for his rhetoric on Crimea, has said the region "doesn''t belong" to Ukraine.'
925	15764	NYT_ENG_20070402.0104.LDC2009T13	Thomas E. Moloney, chairman of the board-29	jobTitle	chairman-26	'"You can''t just use kind of the multiple of going from x square feet to y," said Thomas E. Moloney, chairman of the board.'
973	2338	AFP_ENG_20080321.0453.LDC2009T13	New York governor Eliot Spitzer-29	jobTitle	governor-27	-- Carolyn Capalbo on her daughter Ashley Youmans, aka "Kristen", identified as the high-class call girl allegedly hired for sex by New York governor Eliot Spitzer, who resigned.
984	7721	APW_ENG_20070916.0099.LDC2009T13	Sen. Rosario Ibarra-21	jobTitle	sen.-19	'But this year, in another corner of the plaza, thousands of Calderon''s detractors led by Sen. Rosario Ibarra planned their own "grito," or cry of independence.'
1002	17873	NYT_ENG_20080203.0075.LDC2009T13	former Vice President Dan Quayle-31	jobTitle	president-29	'Former Dallas Cowboys quarterback Roger Staubach, who''s leading the planning effort for the 2011 Super Bowl in North Texas, stopped by, and former Vice President Dan Quayle popped in to rub elbows with the legendary ballplayer.'
1003	19158	NYT_ENG_20080721.0096.LDC2009T13	'Dr. Richard Bachur, chief of emergency services at Children''s Hospital Boston-49'	jobTitle	chief-41	'While the study''s design is sound, its small size and limited area - two hospitals within 15 minutes of each other - makes it hard to generalize to patients throughout the country, said Dr. Richard Bachur, chief of emergency services at Children''s Hospital Boston.'
1006	535	AFP_ENG_20070301.0347.LDC2009T13	Paul Lombard, a lawyer representing the Picasso family-40	jobTitle	lawyer-36	The paintings were on display in the apartment located in the chic Left Bank area of Paris, but security precautions had been taken to protect the works, according to Paul Lombard, a lawyer representing the Picasso family.
						
Long or Ambiguous Entity						
218	17390	NYT_ENG_20071228.0212.LDC2009T13	Archbishop Mousbegh Mardirossian, western prelate for the Armenian Apostolic Church of America, who presided over her funeral north of downtown Los Angeles-47	jobTitle	archbishop-24	"Though she is no longer with us physically, she is now resting peacefully in the presence of God," said Archbishop Mousbegh Mardirossian, western prelate for the Armenian Apostolic Church of America, who presided over her funeral north of downtown Los Angeles.
254	18307	NYT_ENG_20080318.0090.LDC2009T13	Preston, the author of several books on Ireland, and her husband, John,-16	jobTitle	author-4	Preston, the author of several books on Ireland, and her husband, John, have these trips for 2008: Springtime in Ireland, April 19-26, for $1,269, land only
361	12118	APW_ENG_20081010.0115.LDC2009T13	'Palin''s former brother-in-law, a state police officer-20'	jobTitle	officer-20	'The commissioner says he was dismissed for resisting pressure to fire Palin''s former brother-in-law, a state police officer.'
546	2888	AFP_ENG_20080521.0381.LDC2009T13	Maulana Fazlullah, a radical pro-Taliban cleric who led an uprising to enforce Islamic Sharia law in the valley-34	jobTitle	cleric-22	The army launched a major offensive in October to clear Swat of militants loyal to Maulana Fazlullah, a radical pro-Taliban cleric who led an uprising to enforce Islamic Sharia law in the valley.
810	14897	LTW_ENG_20081011.0097.LDC2009T13	his campaign manager, Rick Davis, who said he is worried the election is being "stolen" in several battleground states where irregularities have been alleged in voter registrations collected by ACORN, the Association of Community Organizations for Reform Now-54	jobTitle	campaign manager-14	The accusation about voter fraud came in a conference call with his campaign manager, Rick Davis, who said he is worried the election is being "stolen" in several battleground states where irregularities have been alleged in voter registrations collected by ACORN, the Association of Community Organizations for Reform Now.
						
						
						
Incorrect Extractions						
35	9436	APW_ENG_20080226.0023.LDC2009T13	Art Resnick, spokesman for the Alcohol and Tobacco Tax and Trade Bureau in Washington, D.C. Wines over 14 percent alcohol, which fall into a higher tax category, must list alcohol levels with a tolerance of plus or minus 1 percent-73	jobTitle	spokesman-33	When a percentage is listed it can be off by up to 1.5 percent, a tolerance granted because one batch of wine may differ from another, said Art Resnick, spokesman for the Alcohol and Tobacco Tax and Trade Bureau in Washington, D.C. Wines over 14 percent alcohol, which fall into a higher tax category, must list alcohol levels with a tolerance of plus or minus 1 percent.
199	89	AFP_ENG_20070112.0082.LDC2009T13	State Condoleezza Rice-34	jobTitle	secretary of state-32	'"I believe it''s a tragic mistake," said Senator Joseph Biden, a 2008 Democratic presidential hopeful and chairman of the Foreign Relations Committee, when Secretary of State Condoleezza Rice appeared before the panel Thursday to defend the Bush plan.'
200	89	AFP_ENG_20070112.0082.LDC2009T13	Senator Joseph Biden, a 2008 Democratic presidential hopeful and chairman of the Foreign Relations Committee, when Secretary of State Condoleezza Rice appeared before the panel Thursday to defend the Bush plan-44	jobTitle	chairman-22	'"I believe it''s a tragic mistake," said Senator Joseph Biden, a 2008 Democratic presidential hopeful and chairman of the Foreign Relations Committee, when Secretary of State Condoleezza Rice appeared before the panel Thursday to defend the Bush plan.'
201	89	AFP_ENG_20070112.0082.LDC2009T13	Senator Joseph Biden, a 2008 Democratic presidential hopeful and chairman of the Foreign Relations Committee, when Secretary of State Condoleezza Rice appeared before the panel Thursday to defend the Bush plan-44	jobTitle	senator-12	'"I believe it''s a tragic mistake," said Senator Joseph Biden, a 2008 Democratic presidential hopeful and chairman of the Foreign Relations Committee, when Secretary of State Condoleezza Rice appeared before the panel Thursday to defend the Bush plan.'
413	1460	AFP_ENG_20070903.0070.LDC2009T13	State Condoleezza Rice and national security adviser Stephen Hadley-32	jobTitle	adviser-30	Staging a surprise detour from his trip to Sydney, Bush arrived at the Al-Asad air base in Anbar along with Secretary of State Condoleezza Rice and national security adviser Stephen Hadley.
414	1460	AFP_ENG_20070903.0070.LDC2009T13	State Condoleezza Rice and national security adviser Stephen Hadley-32	jobTitle	secretary of state-24	Staging a surprise detour from his trip to Sydney, Bush arrived at the Al-Asad air base in Anbar along with Secretary of State Condoleezza Rice and national security adviser Stephen Hadley.
595	6251	APW_ENG_20070530.1322.LDC2009T13	State Condoleezza Rice, Russian Foreign Minister Sergey Lavrov and U.N. chief Ban Ki-moon-30	jobTitle	foreign minister-23	The four Quartet diplomats -- German Foreign Minister Frank- Walter Steinmeier, U.S. Secretary of State Condoleezza Rice, Russian Foreign Minister Sergey Lavrov and U.N. chief Ban Ki-moon -- met at the Foreign Ministry in Berlin.
596	6251	APW_ENG_20070530.1322.LDC2009T13	State Condoleezza Rice, Russian Foreign Minister Sergey Lavrov and U.N. chief Ban Ki-moon-30	jobTitle	secretary of state-17	The four Quartet diplomats -- German Foreign Minister Frank- Walter Steinmeier, U.S. Secretary of State Condoleezza Rice, Russian Foreign Minister Sergey Lavrov and U.N. chief Ban Ki-moon -- met at the Foreign Ministry in Berlin.
302	13189	LTW_ENG_20070324.0050.LDC2009T13	'Leonard Downie Jr., the newspaper''s executive editor,-10'	jobTitle	executive-8	'Leonard Downie Jr., the newspaper''s executive editor, said he was upset that the newsroom was not notified.'
						
No extractions						
1	6929	APW_ENG_20070717.0848.LDC2009T13	NULL			--The group will continue to seek weapons of mass destruction -- chemical, biological or nuclear material -- and "would not hesitate to use them."
2	12212	APW_ENG_20081017.0820.LDC2009T13	NULL			'Earlier, Tokyo''s Nikkei 225 stock average advanced 235.27 points, or 2.78 percent, at 8,693.82.'
3	4724	APW_ENG_20070224.0104.LDC2009T13	NULL			A rush of water could be heard from its depths, and authorities feared it could widen or others could open up.
4	1011	AFP_ENG_20070614.0078.LDC2009T13	NULL			New car sales in Europe fell for the fourth consecutive month in May, dragged down by a poor showing in western Europe despite strong performance further east, the European automobile association ACEA said Wednesday
5	7998	APW_ENG_20070924.0721.LDC2009T13	NULL			Extras: (1b, 4lb, 6w, 1nb) 12
6	17506	NYT_ENG_20080107.0224.LDC2009T13	NULL			The report is not likely to be the last word on the antidepressant debate, experts said.
7	21744	XIN_ENG_20080722.0265.LDC2009T13	NULL			Like Zinger, Michael Kolganov, who will be the Israeli flag bearer at the Beijing Olympics opening ceremony, told Xinhua that he is prepared for the Games.
8	1479	AFP_ENG_20070903.0070.LDC2009T13	NULL			The evacuation of the troops to a desert airbase west of Basra paves the way for a full British handover of security in the region to Iraqi authorities, which could take place in the autumn.
9	10352	APW_ENG_20080423.0015.LDC2009T13	NULL			'Mabel Wisse Smit -- WIH''-suh SMIT'
11	7938	APW_ENG_20070919.1310.LDC2009T13	NULL			Fall of wickets: 1-136, 2-144, 3-155, 4-216.
12	19814	NYT_ENG_20081106.0136.LDC2009T13	NULL			Vail, Colo. 6.
13	16395	NYT_ENG_20070622.0068.LDC2009T13	NULL			'"Today, Americans who seek information under FOIA remain less likely to obtain it than during any other time in FOIA''s 41-year history," Leahy said.'
14	13806	LTW_ENG_20071015.0003.LDC2009T13	NULL			He is yawning and tired.
15	11141	APW_ENG_20080806.0063.LDC2009T13	NULL			One individual is known only by an alias online, and his place of origin is unknown.
16	21712	XIN_ENG_20080718.0237.LDC2009T13	NULL			"We were lucky, but lots of the people in my hometown were not.
17	5507	APW_ENG_20070325.0005.LDC2009T13	NULL			C
18	10179	APW_ENG_20080423.0015.LDC2009T13	NULL			'Jabril Rajoub -- jahb-REEL'' rah-JOOB'''
19	12143	APW_ENG_20081012.0400.LDC2009T13	NULL			Watson will get more bowling on the final day once Australia decide when to declare its innings and push for victory.
20	5542	APW_ENG_20070325.0005.LDC2009T13	NULL			'Chickasha -- CHIK''-uh-shay'
21	15586	NYT_ENG_20070306.0155.LDC2009T13	NULL			-- The idea of replacing crude oil with algae may seem like a harebrained way to clean up the planet and bolster national security.
22	10186	APW_ENG_20080423.0015.LDC2009T13	NULL			'Abdel Aziz Rantisi -- AHB''-duhl ah-ZEEZ'' rahn-TEE''-see'
23	14366	LTW_ENG_20080317.0056.LDC2009T13	NULL			Censorship officials huffed about how her gesture was out of place and pledged to tighten controls over foreign performers in China.
24	1487	AFP_ENG_20070906.0447.LDC2009T13	NULL			'URGENT ¥¥¥ Bank of England says ''too soon'' to assess credit squeeze impact'
25	7981	APW_ENG_20070924.0721.LDC2009T13	NULL			TOTAL: (for 5 wickets) 157
26	6657	APW_ENG_20070630.0255.LDC2009T13	NULL			It was not immediately clear whether Lawrence will face prison time.
27	20070	NYT_ENG_20081217.0168.LDC2009T13	NULL			A transition official said that in future meetings, "the military will get a chance to articulate their preferences."
28	8438	APW_ENG_20071104.0155.LDC2009T13	NULL			UN envoy seeks talks between Myanmar military, pro-democracy opponents
29	2445	AFP_ENG_20080408.0078.LDC2009T13	NULL			Alcoa fell 0.69 percent to 37.18 dollars.
30	8754	APW_ENG_20071129.1235.LDC2009T13	NULL			Al-Jazeera aired two brief excerpts of a few seconds each of the audiotape, which al-Qaida had announced several days ago that it would release soon.
31	2183	AFP_ENG_20080210.0023.LDC2009T13	NULL			"This country was built on the impossible.
32	6329	APW_ENG_20070531.1915.LDC2009T13	NULL			"There are a lot," she said.
33	16401	NYT_ENG_20070625.0073.LDC2009T13	NULL			Now he was spending his days testifying against rebel leaders being tried by a United Nations court for war crimes and helping prosecutors gather evidence against Taylor.
34	12940	LTW_ENG_20070104.0108.LDC2009T13	NULL			The Democratic leaders in retreat, Sheehan seized the microphone.
36	754	AFP_ENG_20070415.0098.LDC2009T13	NULL			'We''d like it to be on in the coming days," she added.'
37	6327	APW_ENG_20070531.1915.LDC2009T13	NULL			Yes, Moreno is single.
38	13263	LTW_ENG_20070404.0066.LDC2009T13	NULL			False.
39	3688	AFP_ENG_20081118.0662.LDC2009T13	NULL			'We''re abandoned," he said.'
40	22220	XIN_ENG_20081125.0212.LDC2009T13	NULL			'Echoing Bush''s views, Olmert said: "It continues with your guidance and support and inspiration.'
41	6968	APW_ENG_20070718.1602.LDC2009T13	NULL			---
42	16234	NYT_ENG_20070602.0129.LDC2009T13	NULL			Some 27.1 percent of the treated patients were alive a year later, twice as many as the 13.3 percent of the control group.
43	5214	APW_ENG_20070325.0005.LDC2009T13	NULL			'Naveed Afzal Haq -- nah-VEED'' AHF''-zal hahk'
44	9445	APW_ENG_20080226.0023.LDC2009T13	NULL			The two are separated by distilling and the water is then put back into the wine.
45	9493	APW_ENG_20080229.0273.LDC2009T13	NULL			'"The controller didn''t recognize the error on read-back," Bergen said.'
46	4859	APW_ENG_20070311.0678.LDC2009T13	NULL			The Israeli official, speaking on condition of anonymity because the meeting was closed, said Olmert pressed Abbas to halt Palestinian rocket fire from Gaza and arms smuggling from Egypt, and win the release of an Israeli soldier captured in June by Hamas-linked gunmen.
47	10846	APW_ENG_20080706.0392.LDC2009T13	NULL			7
48	887	AFP_ENG_20070502.0586.LDC2009T13	NULL			'The newspaper is a standby for top business leaders, and counts on its faithful readers to appreciate its somewhat austere presentation and its celebrated drawings, instead of photographs, of the world''s movers and shakers.'
49	8150	APW_ENG_20071013.0809.LDC2009T13	NULL			Pakistan vs. Iraq
50	9175	APW_ENG_20080117.0097.LDC2009T13	NULL			'The president''s action will not allow the anti-submarine warfare training to go forward because an injunction is in place, but the Navy believes it will significantly strengthen its argument in court.'
51	15763	NYT_ENG_20070402.0104.LDC2009T13	NULL			'It was an easy sell to the museum''s board, given the institution''s needs.'
52	11026	APW_ENG_20080729.0848.LDC2009T13	NULL			Morgan Hamm said he got the anti-inflammatory shot on May 2 from his doctor after taping, ultrasound and other therapies failed to reduce the pain and swelling in his left ankle.
53	451	AFP_ENG_20070220.0506.LDC2009T13	NULL			The National Basketball Association club announced the injury here on Tuesday, adding him to a list of absentees that include center Kwame Brown and forward Luke Walton, who both have sprained ankles.
54	15396	NYT_ENG_20070208.0083.LDC2009T13	NULL			(Atlanta Journal-Constitution)
55	10675	APW_ENG_20080519.0518.LDC2009T13	NULL			First top civil servants will hold talks, then the two foreign ministers.
56	15474	NYT_ENG_20070222.0015.LDC2009T13	NULL			"All vehicles are improving their gasoline mileage," Taylor said.
57	16974	NYT_ENG_20070919.0124.LDC2009T13	NULL			'In today''s perpetual workplace, where downtime has merged with work time, where you can carry your office in your pocket, where collars are no longer distinctly blue or white, how does one measure overtime?'
58	11662	APW_ENG_20080904.1055.LDC2009T13	NULL			For now, Moore hopes "Slacker Uprising" will help spur young people to vote this November.
59	7774	APW_ENG_20070919.0847.LDC2009T13	NULL			Update: AFGHAN-VIOLENCE.
60	4715	APW_ENG_20070223.1663.LDC2009T13	NULL			'Dow Jones announced on Wednesday that its board expects to elect independent director Peter McPherson as the company''s next chairman at its next shareholder meeting in April.'
61	13487	LTW_ENG_20070728.0017.LDC2009T13	NULL			'Detractors say there''s no hard proof that the method works.'
62	21090	XIN_ENG_20071123.0120.LDC2009T13	NULL			The deadline for Lebanese parliament to elect a new president is imminent on Friday, while uncertainty and doubt are running high as rival pro- and anti- Syrian politicians are still at odds on a compromise presidential candidate.
63	17300	NYT_ENG_20071205.0169.LDC2009T13	NULL			'SOUTHFIELD -- After Metro Detroit Jewish families lit the first candle on their menorahs this week, many of the Hanukkah presents exchanged weren''t dreidels and gelts.'
64	20919	XIN_ENG_20071018.0247.LDC2009T13	NULL			'China''s education officials are joining with employment authorities to mount investigations into reports of agencies and individuals who lure minors to work, said the Ministry of Education on Thursday.'
65	20835	XIN_ENG_20070919.0266.LDC2009T13	NULL			New constitution will be for Turkey instead of AKP: Turkish PM
66	16267	NYT_ENG_20070606.0275.LDC2009T13	NULL			Though many Brazilians are reluctant to acknowledge it, bicheiros also play a central, even essential, role in Carnival here.
67	15440	NYT_ENG_20070220.0216.LDC2009T13	NULL			Although the Episcopal Church is known as an inclusive haven, Hopkins said, he already knows gay men and lesbians who are leaving.
68	8025	APW_ENG_20070924.1107.LDC2009T13	NULL			"Why did this happen?
69	2653	AFP_ENG_20080430.0252.LDC2009T13	NULL			Italian party urges review of EU borders pact: report
70	3172	AFP_ENG_20080808.0619.LDC2009T13	NULL			'"Let''s hope one legacy of the Games will be the realisation of the damage that has been done to the environment and will continue to be done unless they are more careful."'
71	3019	AFP_ENG_20080725.0315.LDC2009T13	NULL			"I never doubted his identity," she told the newspaper.
72	16059	NYT_ENG_20070514.0026.LDC2009T13	NULL			- Laurie Hoffman, Atlanta Journal-Constitution.
73	5460	APW_ENG_20070325.0005.LDC2009T13	NULL			'Ladan Bijani -- LAH''-dahn'
74	21818	XIN_ENG_20080806.0410.LDC2009T13	NULL			IOC to wait until last minute for DPRK and South Korea to decide on joint march
75	9361	APW_ENG_20080131.0031.LDC2009T13	NULL			The black Baptists ended their meeting early so they could join the Carter-led event, which critics have dismissed as little more than a Democratic rally.
76	752	AFP_ENG_20070415.0098.LDC2009T13	NULL			"Our patience is not in infinite supply but given the kind of complexities that did arise with some of the banking issues, it is probably prudent to give this a few more days to see if the statement of February 13 is something they are going to follow through on," the State Department official said.
